stage,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,0,1.61,0,0,0.81,1.61,0,2.42,0.81,2.42
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0.57,0.57,0,0,0,2.87,0,0,0,1.15,0.57,0,0,0
 60-70,0,0.98,0.98,0,0.98,0,0.98,1.96,0.98,0.98,0.98,0,0.98,5.89,0,0,0.98,1.96,0,0,0.98,0,0,3.93,0.98,0
 72-82,0,0,0.98,0,0.98,0,0,2.94,6.87,0,1.96,0.98,0.98,8.83,0,0,0,2.94,0.98,0,1.96,1.96,0,11.78,3.93,0.98
 84-94,0,0,4.25,0,1.06,0,0,0,20.18,1.06,5.31,1.06,0,3.19,0,4.25,0,2.12,0,0,2.12,4.25,1.06,7.43,2.12,0
 96-106,0,1.09,6.56,3.28,0,0,0,4.37,16.39,0,4.37,0,0,8.74,0,1.09,1.09,4.37,0,0,6.56,3.28,0,13.11,3.28,0
108-118,0,0,1.53,1.53,0.77,0.77,0,2.3,19.15,0,10.72,0,1.53,3.06,0.77,0.77,0,3.06,0,0,1.53,0.77,0.77,7.66,2.3,0.77
120,0,1.96,7.84,0,0,0,0,1.96,31.36,0,7.84,0,0,0,0,1.96,0,3.92,0,0,0,1.96,0,7.84,0,0
