stage,epidermis,erythrocytes,eye,fin.epithelia,gut,mesenchyme,mural.cell,neural,notochord,otic,pericytes,periderm,somites,spinal.cord
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,1,2
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,3.22,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,0.57,0.57,0,0,0,0,1.15
 60-70,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,1.09,0,1.09,0,0,1.09,0,1.09,0,1.09,0,1.09
108-118,0,0,0,0,0,0,0,1.53,0,0,0.77,1.53,0,0
120,3.92,1.96,0,1.96,0,0,0,0,0,0,0,11.76,0,0
