stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,31,6,0,4,0,0,0,1,1,0,7,0,4,0,0,2,0,14,0,0,4,35,9,1,1,0,27,0,3,3,3,7,9,0,0,4,0,0
 24-34,0,0,1.64,5.75,63.21,7.39,0,38.58,0,9.03,0.82,11.49,0.82,0,3.28,6.57,48.43,0.82,4.1,1.64,2.46,74.7,9.03,0.82,48.43,428.49,9.85,36.94,5.75,0,362.82,0,0.82,9.03,7.39,9.85,115.74,0,0,16.42,0,2.46
 36-46,0,0,0.81,0,42.7,0,0,94.26,6.45,19.34,2.42,15.31,0.81,0,2.42,2.42,22.56,0.81,2.42,0,1.61,111.18,12.89,4.03,30.62,348.85,12.09,45.92,6.45,0,733.16,0.81,0,4.03,4.83,1.61,73.32,0,0.81,10.47,0,4.83
 48-58,0,0,0,0.57,23.53,2.87,0,90.66,1.72,28.12,1.72,20.66,0.57,2.3,0.57,4.02,10.33,1.15,2.3,1.72,4.59,88.94,10.9,2.87,12.62,151.48,2.3,39.59,1.72,1.15,650.69,0,0,1.15,4.02,0,26.97,0,0,3.44,0,4.02
 60-70,0,0,1.96,0,44.17,2.94,0,86.37,3.93,25.52,2.94,51.04,7.85,1.96,0,4.91,16.69,1.96,5.89,6.87,2.94,151.15,9.82,4.91,11.78,159.99,2.94,34.35,6.87,1.96,523.15,0,0,3.93,3.93,0,19.63,0,0,9.82,0.98,8.83
 72-82,0,0,5.89,0,58.9,28.47,1.96,77.55,0,21.6,12.76,101.11,67.73,0,3.93,9.82,38.28,2.94,16.69,9.82,0.98,222.84,11.78,9.82,17.67,235.6,0,97.18,13.74,2.94,362.23,0,0,7.85,2.94,0,14.72,8.83,5.89,22.58,11.78,9.82
 84-94,0,0,2.12,0,124.26,37.17,1.06,84.96,2.12,64.78,12.74,69.03,135.94,3.19,1.06,26.55,64.78,7.43,16.99,13.81,2.12,175.24,13.81,9.56,20.18,149.75,3.19,86.03,23.36,0,1045.04,0,0,14.87,6.37,0,4.25,26.55,7.43,20.18,13.81,6.37
 96-106,0,0,4.37,1.09,140.98,30.6,1.09,77.59,1.09,40.44,5.46,88.52,347.53,0,4.37,33.88,74.31,6.56,61.2,25.14,0,160.65,16.39,5.46,15.3,170.48,3.28,159.56,33.88,6.56,537.68,0,0,9.84,1.09,0,6.56,56.83,8.74,31.69,15.3,5.46
108-118,0,0,1.53,0.77,121.02,33.7,6.13,66.64,2.3,44.43,16.09,75.83,433.54,0,5.36,31.4,79.66,9.96,25.28,31.4,4.6,121.79,6.13,6.89,12.26,194.55,4.6,90.38,16.09,1.53,422.81,0,0,13.79,3.06,0,8.43,42.89,4.6,21.45,7.66,5.36
120,0,0,7.84,0,94.07,29.4,1.96,41.16,3.92,33.32,9.8,50.95,321.4,0,3.92,29.4,45.08,7.84,33.32,35.28,0,97.99,9.8,0,15.68,194.02,0,66.63,13.72,3.92,282.21,0,0,9.8,1.96,0,5.88,27.44,3.92,15.68,1.96,1.96
