stage,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,neural,periderm,pgc,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,5.75,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,5.64,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,9.18,0,0,0,0,1.15,1.15,0.57,0,0,0,0,0,0.57
 60-70,19.63,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,24.54,2.94,0,0.98,0,0.98,0.98,0.98,0.98,0,0.98,0,0,0.98
 84-94,73.28,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,81.96,5.46,1.09,1.09,1.09,2.19,0,2.19,1.09,0,0,0,1.09,1.09
108-118,85.02,2.3,1.53,2.3,0,1.53,0,0.77,0,0,0,0,0,0
120,25.48,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0
