stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,553.47,8051.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,408.52,0,0,0,0,0,0,0,0,0
  5-6,527.15,6429.99,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,140.98,6.13,0,0,61.3,159.37,0,0,0,0,0,0,0,0,0
  7-9,78.86,63.09,144.58,0,0,215.55,0,0,0,86.75,0,0,0,0,0,0,0,2037.25,70.98,0,0,846.45,5.26,13.14,0,0,0,0,0,0,0,0
 10-12,0,40.91,40.91,0,3.15,84.97,0,0,0,28.32,0,0,0,0,0,0,0,711.22,31.47,0,0,355.61,0,6.29,3.15,40.91,0,3.15,0,0,0,0
 14-21,0,0,1,20,5,0,0,1,1,0,0,0,0,0,8,0,3,61,1,0,0,4,2,1,9,2,3,20,34,0,1,0
 24-34,0,0,0.82,0,0,1.64,0,2.46,0,0,0,0,0,0.82,8.21,0,0.82,59.1,0,0,0,0,4.93,0,0,0,0,0.82,17.24,0,0,0
 36-46,0,0,0,0,0,3.22,0,4.83,0,0,0,0,0,0,3.22,0,0.81,47.53,0,0,0,0,0.81,0,0,0,0.81,0,12.09,0,0,0
 48-58,0,0,0,0,0,7.46,0,12.05,0,0,0.57,0,0,0,2.87,0,0.57,23.53,0,0.57,0,0,0,0,0,0,0,0,11.48,0,0,0
 60-70,0,0,0,0,0,8.83,0,10.8,0,0,0,0,0,0,2.94,0,1.96,11.78,0,0,0.98,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,0,6.87,0.98,19.63,0,0,0,0.98,0.98,0,6.87,1.96,0.98,10.8,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,0,0,2.12,0,6.37,0,0,0,0,0,0,4.25,0,0,4.25,0,1.06,0,0,1.06,0,0,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,0,1.09,0,10.93,0,0,0,0,1.09,1.09,2.19,0,0,5.46,0,0,0,0,4.37,0,0,0,0,0,1.09,1.09,0,0
108-118,0,0,0,0,0,0.77,0,4.6,0,0,0.77,0,0,0,2.3,0,0.77,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,5.88,0,0,0,0,0,0,3.92,0,0,5.88,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
