stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,15.73,0,0,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,519.25,3.15,0,0,22.03,0,0,0,0,0,0,0
 14-21,0,0,5,1,715,0,0,0,0,0,0,1,1,2,0,0,0,461,1,0,0,1,1,2,6,7,0,0,0
 24-34,0.82,0,4.1,0,1038.38,0,0,0.82,0.82,0,0,0,0.82,5.75,0,0,0.82,313.57,0,0,0,0.82,0.82,0,0.82,15.6,0,0,0
 36-46,0,0,2.42,0,908.79,0,0.81,0.81,0,0,0,2.42,0,6.45,0,0,0.81,122.46,0,0.81,0,0,0.81,0.81,0,8.06,0,0,0
 48-58,0,0,0,0,765.46,0,0,4.59,0,0,0,0,0,4.02,0,1.72,1.72,66.56,0,0,0,0,0,0,0,6.89,0,0,1.15
 60-70,0,0,0,0,1118.94,0.98,0.98,19.63,0,0.98,0,0,0,5.89,0,0,0.98,39.26,0,0,0,0,0,0,0,0.98,0,0.98,0
 72-82,0,0.98,3.93,0.98,1009.15,0,1.96,46.14,0.98,0,0,0,0,8.83,0,0,0.98,31.41,0,0,0.98,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,7.43,0,940.97,0,1.06,33.99,0,2.12,0,0,0,6.37,0,1.06,3.19,32.92,0,0,0,0,1.06,0,0,1.06,1.06,0,0
 96-106,0,0,4.37,2.19,657.89,0,1.09,49.18,0,4.37,0,0,0,6.56,0,1.09,1.09,16.39,0,1.09,1.09,0,2.19,0,0,0,1.09,2.19,0
108-118,0,0,2.3,3.06,507.83,0,0.77,36,0,0,0.77,0,0.77,3.83,0.77,0.77,0,28.34,0,0.77,0.77,0,1.53,0,0,0.77,0,0,0
120,0,0,3.92,1.96,374.32,0,0,11.76,0,0,0,0,1.96,1.96,0,0,3.92,39.2,0,0,0,0,1.96,0,0,0,0,0,0
