stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.27,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398.43,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,28.92,0,0,0,28.92,52.57,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,50.35,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,2,48,0,0,1,1,0,2,0,0,6,0,1,0,0,1,0,0,4,0,2,5,3,31,57,0,1,18,1,0,0,1,0
 24-34,0,0,0,1.64,35.3,0,0,0,4.93,0,2.46,0,0.82,9.03,0,4.1,0,0.82,3.28,0,2.46,22.16,0.82,18.88,5.75,0,136.26,0,0,0,0,2.46,0,0,3.28,0
 36-46,0,0,0,0,16.11,0,0,0,4.03,0.81,0.81,0,8.06,2.42,0,4.83,0,0,0,0,2.42,16.11,0,9.67,2.42,0,109.57,0,2.42,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,12.62,0,0,1.15,6.31,0.57,1.72,0.57,6.31,4.59,0,5.74,0,0.57,2.3,0,0,17.79,0,6.31,6.31,0,102.14,0,0,0,0,1.72,0,0,0.57,0
 60-70,0,0,0,0.98,14.72,0,0,4.91,4.91,0,2.94,0,5.89,2.94,0,3.93,0,2.94,3.93,0,0,9.82,0,11.78,4.91,0,112.88,0,0,0,0,0,0.98,0.98,4.91,0
 72-82,0,0,5.89,0,23.56,0.98,0,5.89,4.91,2.94,11.78,0.98,10.8,11.78,0,3.93,0,9.82,7.85,0,1.96,11.78,0,15.71,12.76,0,142.34,0,0,0,0,2.94,8.83,0,1.96,0.98
 84-94,1.06,0,3.19,0,46.73,0,0,8.5,9.56,1.06,10.62,1.06,18.05,10.62,1.06,7.43,2.12,8.5,4.25,0,1.06,6.37,0,11.68,10.62,0,448.18,0,0,0,0,0,24.43,0,6.37,0
 96-106,0,0,5.46,0,72.13,0,0,6.56,12.02,6.56,19.67,0,27.32,21.86,0,12.02,0,5.46,8.74,0,0,7.65,0,27.32,15.3,0,348.62,0,0,0,0,0,43.71,0,6.56,0
108-118,0,0,0.77,0,85.02,0.77,0.77,6.89,28.34,1.53,15.32,0,22.21,19.92,0,5.36,0,8.43,13.02,0.77,0.77,6.89,0,17.62,13.79,0,232.85,0,0,0,0,0,40.6,0,1.53,0.77
120,0,0,0,0,58.79,1.96,0,3.92,7.84,0,5.88,0,31.36,7.84,0,1.96,0,11.76,1.96,0,0,11.76,1.96,11.76,17.64,0,205.78,0,0,0,0,0,19.6,0,5.88,0
