stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,316.27,5402.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0
  5-6,422.94,6062.21,12.26,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,110.33,30.65,0,0,24.52,55.17,0,0,0,0,0,0,0,0,0
  7-9,55.2,44.69,92,0,0,107.78,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,1540.43,34.17,0,0,507.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,22.03,0,0,40.91,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,258.05,3.15,0,0,107,3.15,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,7,2,6,0,0,0,1,2,0,0,0,0,0,0,0,3,0,4,117,7,2,1,3,1,0,9,1,0,11,27,0,3,1
 24-34,0,0,0,4.1,0,11.49,0,1.64,0,2.46,1.64,0,1.64,0,0,0,1.64,0.82,13.95,0,7.39,131.34,2.46,0,0.82,0,1.64,0,0,0.82,0,0.82,32.83,0,8.21,0
 36-46,0,0,0,4.03,0,17.72,0.81,0.81,0,3.22,0,0,1.61,0.81,0,0.81,0,2.42,6.45,0,3.22,106.35,3.22,0,0,0,0,0,0,0,0,0,18.53,0,4.83,0
 48-58,0,0,0,0,0,9.18,1.15,0,0.57,2.3,0,0,0,0,0,0,0,0.57,3.44,0.57,0.57,28.69,1.15,0,0,0,0,0,0,0,0.57,0,8.03,0,1.15,0
 60-70,0,0,0,0.98,0,10.8,0.98,0,0,1.96,0,0,0,0,0,0.98,0,0,5.89,0,0,8.83,0,0,0.98,0,0,0,0,0,0,0,0.98,0,1.96,0.98
 72-82,0,0,0,0,0,25.52,0,0.98,0,0.98,0,0.98,0,0,0.98,0,0,0,4.91,0,0,10.8,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,12.74,0,1.06,0,2.12,0,0,0,0,0,1.06,0,0,5.31,0,0,9.56,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,0,4.37,0,0,0,1.09,0,0,0,0,0,1.09,0,0,1.09,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0.77,0,0,0,0,2.3,0,0,3.06,0.77,0,0,0.77,2.3,0.77,0,0,0.77,0,0,0,0,0,0.77,0.77,2.3,0
120,0,0,0,1.96,0,3.92,0,0,0,5.88,0,0,0,1.96,0,0,0,0,3.92,0,0,9.8,3.92,0,0,0,0,0,0,0,0,0,0,0,3.92,0
