stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,79.07,1989.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,1771.46,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,0,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,28.92,0,7.89,0,0,42.06,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,601.98,5.26,0,0,128.81,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,25.18,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,19,0,0,0,0,0,4,1,2,0,0,2,4,0,0,2,0,0
 24-34,0,0,0,0,0.82,3.28,6.57,0,0,0,2.46,0,0,0,0,5.75,0.82,0,0,3.28,0,0,2.46,30.37,0,0,0,0,0,30.37,0,0,0.82,0.82,0.82,7.39,0,0,0.82,0,0
 36-46,0,0,0,0,2.42,2.42,4.03,0,0,1.61,0,0,0,0.81,0,4.83,0,0,0,2.42,0,0,4.03,24.98,0,4.03,0,0,0,21.75,0,0,0,0.81,0,4.83,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,4.59,16.07,0,0,0,4.59,0,0,0,0,2.3,0,0.57,0,4.59,1.72,0,2.3,16.07,0,0,0.57,0,0,16.64,0,0,0,0.57,0,6.89,0,0.57,0.57,0,1.15
 60-70,0,0,0,0,2.94,2.94,16.69,0,0,0.98,7.85,0,0,0,0,0,0,0,0,5.89,0,0,0.98,20.61,0.98,0.98,0.98,0,0,9.82,0,0,0.98,0,0,1.96,0,0.98,0.98,0,0
 72-82,0,0,1.96,0,3.93,18.65,6.87,0,0.98,0,11.78,0.98,0,0,0,1.96,0,0,0,4.91,0,0,1.96,26.5,0.98,2.94,0.98,0,0,17.67,0,0,0,0,0,2.94,0.98,0,1.96,0.98,0
 84-94,0,0,1.06,0,5.31,15.93,3.19,0,0,0,1.06,5.31,0,0,0,3.19,1.06,1.06,0,7.43,0,0,0,12.74,0,8.5,3.19,0,0,39.3,0,0,0,0,0,4.25,0,0,1.06,0,2.12
 96-106,0,0,0,0,6.56,15.3,4.37,1.09,0,2.19,6.56,3.28,0,0,0,14.21,0,1.09,0,3.28,4.37,1.09,0,10.93,0,4.37,7.65,0,1.09,32.79,0,0,0,2.19,0,0,0,1.09,2.19,0,0
108-118,0,0,0,0,5.36,13.79,8.43,1.53,0,0,5.36,4.6,0,0.77,0.77,3.06,0,0.77,0,5.36,0.77,0,1.53,9.96,0,2.3,1.53,0,0,16.09,0,0,0,3.83,0,1.53,1.53,0,0,0,0.77
120,0,0,0,1.96,23.52,15.68,11.76,1.96,5.88,0,9.8,7.84,0,0,1.96,7.84,0,1.96,3.92,1.96,5.88,1.96,0,19.6,1.96,3.92,1.96,0,0,35.28,0,0,7.84,0,0,1.96,3.92,0,9.8,0,0
