stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0.82,0,0,0,20.52,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,3.22,0,0,0.81,0,0,0,4.03,0,1.61,0,0,0,58.81,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,2.3,0,0,2.87,0,2.3,0,0,0,0,0,0,0,1.15,0,0.57,1.72,0,0,0.57,10.33,0,2.87,0,0,0,132.55,0,0,0.57,0,0,0.57,0,0
 60-70,0,0,24.54,0,0,15.7,0,4.91,0.98,0.98,0,0,0,0.98,0,6.87,0,0,0.98,0,0,0,16.69,0,0.98,0,0,0,251.27,0,0,3.93,0.98,0,0,0,0
 72-82,0,0,67.73,0,0,12.76,0,6.87,1.96,7.85,0.98,0,0,12.76,0,24.54,0,0,12.76,5.89,1.96,0.98,37.3,0,2.94,0,0,0,323.95,0.98,0,0.98,6.87,0.98,0.98,0.98,0.98
 84-94,0,0,154,0,0,7.43,0,39.3,0,3.19,1.06,0,0,41.42,0,23.36,0,2.12,3.19,12.74,0,0,10.62,1.06,4.25,0,0,0,622.35,1.06,0,0,36.11,1.06,1.06,1.06,0
 96-106,0,0,218.57,3.28,0,22.95,2.19,41.53,1.09,12.02,3.28,0,2.19,67.76,2.19,71.04,1.09,0,14.21,12.02,0,1.09,39.34,0,13.11,1.09,0,0,637.13,1.09,1.09,0,138.79,0,0,1.09,1.09
108-118,0,0.77,204.51,0.77,0.77,10.72,0.77,48.26,0,9.19,0,0.77,0.77,73.53,0,46.72,1.53,0,9.96,16.09,0,3.06,32.94,0,5.36,0.77,0,0.77,441.19,0,0,0,166.98,0,1.53,0,0
120,0,0,109.75,3.92,0,13.72,0,25.48,1.96,1.96,3.92,0,0,33.32,0,23.52,1.96,0,3.92,9.8,0,0,23.52,0,7.84,0,0,0,250.85,0,0,0,52.91,0,1.96,0,0
