stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,2,0,0,0,0,0,1,0,0,2,1,0,0,0,0,7
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,0,0.82,0,27.91,6.57,0,3.28,46.79,0,0,0.82,0,0.82,0,0,0,0,4.93,0,0,1.64,0,32.83
 36-46,0,0,0,0,0,1.61,0,0,0,1.61,0,0.81,0,0,4.03,0,51.56,3.22,0,0.81,65.26,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0,0,30.62
 48-58,0,0,0,1.15,0,6.89,0,0,0,0.57,0,0,0,0,16.07,0,47.05,3.44,0,0,57.95,0,0,0,0,0.57,0,0,0,0,2.87,0,0,0,0,49.35
 60-70,0,0,0,0.98,0,59.87,0,0,1.96,0.98,0,0,0.98,0,34.35,0,19.63,6.87,0.98,0,64.78,0,0,0.98,0,0,0,0,0,0,4.91,0,0,0,0,36.32
 72-82,0,0,0,0,0.98,258.18,0,0,0.98,7.85,0.98,0,0,0,30.43,0,32.39,12.76,0,0.98,67.73,0,0,0,0,0,0,0,0,0,5.89,0,0,0,0.98,30.43
 84-94,0,0,0,1.06,0,191.17,0,1.06,0,9.56,0,0,0,0,48.85,0,50.98,5.31,0,1.06,41.42,0,0,0,0,3.19,0,0,0,0,3.19,0,1.06,0,2.12,29.74
 96-106,0,1.09,0,3.28,1.09,213.11,1.09,0,1.09,14.21,2.19,1.09,1.09,0,50.27,0,39.34,14.21,0,1.09,41.53,1.09,0,1.09,0,2.19,0,0,0,0,0,0,0,0,3.28,50.27
108-118,0,0,0.77,2.3,0.77,212.94,0,0,0.77,10.72,4.6,0,0,0.77,80.43,0.77,51.32,9.96,0.77,0,33.7,0,0,0,0,0,0,0,0.77,0,0.77,0.77,0.77,0,2.3,61.28
120,0,0,0,0,0,180.3,0,0,0,13.72,1.96,0,0,0,39.2,1.96,17.64,7.84,1.96,0,43.12,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,0,3.92,19.6
