stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,197.67,2846.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,165.5,2611.22,0,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,107.78,0,607.23,0,2.63,0,276.01,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,5475.61,44.69,0,0,1030.46,0,5.26,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,34.62,0,324.14,0,0,0,204.55,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,2813.39,12.59,0,0,320.99,0,0,0,3.15,34.62,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,551,26,0,156,0,1,0,6,0,0,2,0,0,0,1,0,15,0,0,10,491,5,1,4,6,0,21,4,63,3,1,53,97,0,0,13,0,0
 24-34,0,0,0,11.49,396.47,4.93,0,164.17,0,16.42,0,13.13,4.93,0,1.64,0,1.64,0,4.1,4.1,66.49,3.28,0.82,16.42,674.74,0,6.57,13.95,0,0,55,0,0.82,4.93,0,12.31,106.71,0,0,42.68,0,0
 36-46,0,0,0,2.42,136.96,1.61,0,76.54,0,14.5,1.61,33.03,6.45,0.81,4.03,4.03,1.61,0.81,2.42,0.81,89.43,0,3.22,15.31,364.16,0.81,4.83,10.47,0,0,31.42,3.22,0,1.61,0,0,73.32,0,0,45.92,0,1.61
 48-58,0,0,0,1.72,139.43,4.59,0,81.48,0,16.64,4.59,56.23,2.87,0,6.31,6.89,0.57,0,9.75,1.15,129.11,1.72,1.72,16.07,210.59,0,3.44,15.49,0,0.57,26.97,0,0,0.57,0.57,0,33.28,0,0,43.61,0,0
 60-70,0.98,0,0.98,0,131.52,0.98,0,41.22,0,17.67,3.93,86.37,6.87,0,4.91,10.8,0.98,0.98,8.83,1.96,143.3,3.93,3.93,20.61,128.58,0,1.96,8.83,0,0,29.45,0.98,0,0,0,0,18.65,3.93,2.94,47.11,0.98,0
 72-82,0,0,1.96,0.98,126.63,26.5,0.98,65.77,0,7.85,7.85,127.62,13.74,0.98,8.83,42.21,4.91,0.98,19.63,2.94,157.07,0,3.93,27.49,168.85,0.98,10.8,11.78,0,0.98,30.43,0,0,0,0,0,2.94,14.72,0,71.66,1.96,0.98
 84-94,1.06,0,0,0,175.24,11.68,2.12,76.47,0,19.12,9.56,82.84,15.93,0,4.25,46.73,7.43,4.25,10.62,2.12,124.26,4.25,6.37,30.8,132.75,1.06,6.37,19.12,0,0,101.96,0,0,3.19,0,0,5.31,50.98,2.12,67.97,4.25,0
 96-106,0,0,0,0,168.3,17.49,1.09,41.53,1.09,5.46,8.74,83.06,31.69,0,6.56,48.09,10.93,0,9.84,5.46,103.82,1.09,3.28,26.23,106.01,2.19,16.39,13.11,0,0,73.22,1.09,0,1.09,0,0,1.09,41.53,5.46,80.87,0,0
108-118,0.77,0,0.77,0,125.62,18.38,1.53,45.96,0.77,19.15,7.66,91.92,33.7,0,4.6,29.87,8.43,3.06,11.49,2.3,107.23,2.3,2.3,32.17,150.13,1.53,9.19,13.02,0,0.77,78.13,1.53,0,2.3,0,0,5.36,65.87,2.3,75.83,4.6,0
120,0,0,0,0,86.23,19.6,0,31.36,0,15.68,5.88,84.27,23.52,0,1.96,37.24,5.88,1.96,5.88,5.88,105.83,1.96,1.96,39.2,137.18,1.96,9.8,13.72,0,3.92,66.63,0,0,1.96,0,0,5.88,15.68,3.92,62.71,3.92,0
