stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,14,3,17,0,0,0,7,1,0,1,0,0,0,0,0,0,16,0,0,7,146,1,1,1,3,0,4,9,3,14,59,0,0,0,0,0
 24-34,0,0,0.82,2.46,5.75,0.82,42.68,0,0,0.82,7.39,0,0,0.82,1.64,1.64,0,1.64,0,0.82,27.09,0,0,15.6,362.82,7.39,4.1,2.46,0,0,3.28,0,0.82,9.85,100.14,0,0,12.31,0,1.64
 36-46,0,0,4.03,0,2.42,0,110.38,0,0,0.81,8.06,1.61,0,0.81,0,0,0.81,0,0,0,26.59,0.81,0.81,8.86,249.76,4.83,8.06,0,0,0,0,0,0.81,0,63.65,0,0,1.61,0,0.81
 48-58,0,0,1.15,0,1.72,0,146.32,0,0,1.15,17.21,0,0,0.57,0.57,0,0,0.57,0.57,0.57,40.74,1.72,2.3,5.74,195.67,0,5.74,0,0,0,1.15,0,0,0,35,0,0,1.15,0,0.57
 60-70,0,0,1.96,0,0.98,1.96,128.58,0,0.98,1.96,18.65,0.98,0,0.98,1.96,0,0,0,0.98,0,37.3,0.98,2.94,2.94,282.68,1.96,1.96,0,0,0,0,0,0,0,33.37,0.98,1.96,1.96,0.98,0
 72-82,0,0,0,0,4.91,3.93,103.07,0,0,2.94,29.45,5.89,0,0,1.96,0,0,1.96,0,0,62.83,0,0.98,3.93,267.01,0,8.83,0.98,0,0.98,0,0,1.96,0,20.61,0,0,0.98,0.98,0
 84-94,0,0,2.12,0,7.43,3.19,97.71,1.06,3.19,3.19,21.24,2.12,0,0,2.12,1.06,1.06,0,0,0,46.73,0,3.19,5.31,117.89,3.19,2.12,4.25,0,0,2.12,0,1.06,0,9.56,1.06,1.06,4.25,0,0
 96-106,0,0,0,0,4.37,4.37,85.24,0,1.09,3.28,16.39,1.09,0,1.09,7.65,0,0,0,0,0,31.69,1.09,1.09,2.19,135.51,1.09,10.93,0,0,0,2.19,0,0,0,3.28,3.28,3.28,2.19,1.09,0
108-118,0,0,1.53,0.77,4.6,4.6,89.62,0,3.06,2.3,22.98,2.3,0,0.77,3.83,0.77,0,0.77,1.53,0,26.04,0,0,6.13,149.36,0.77,3.83,3.83,0,0.77,1.53,0,0,0,4.6,0.77,0,5.36,0,0
120,0,0,0,0,9.8,3.92,90.15,0,1.96,3.92,15.68,0,0,0,1.96,1.96,3.92,0,0,0,31.36,0,0,9.8,229.29,0,7.84,0,0,0,0,0,0,0,1.96,0,0,7.84,0,1.96
