stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,10,3,0,0,0,0,1,0,0,0,0,0,4,0,0,3,17,0,0,0,0,3,6,1,15,11,0,0
 24-34,0,4.93,0,3.28,0.82,0,0,0,0,0,0,0,0,3.28,0.82,0,1.64,18.88,0,0,0,0,11.49,0,0,0.82,1.64,0,0.82
 36-46,0,0.81,0,4.03,0,0,3.22,0,0,0.81,0,0,0,3.22,0,0,0.81,31.42,0,0.81,1.61,0,0.81,0,0,0,5.64,0,0
 48-58,0,0,0,0.57,1.15,0,1.15,0,0,0,0,0.57,0,2.3,0,0,0.57,18.36,0,0.57,0,0,0,0,0,0,4.02,0.57,0
 60-70,0,0,0,1.96,0.98,0.98,0.98,0,0,0,0,0,0,2.94,0,0.98,0,17.67,0,0,0.98,0,3.93,0,0,0,1.96,0,0
 72-82,0,0.98,0.98,8.83,0,0,0.98,0,0,0,2.94,0,0,2.94,0,1.96,0,15.71,0,1.96,0,0,1.96,0,0,0,1.96,0,0
 84-94,1.06,3.19,1.06,6.37,1.06,0,0,0,1.06,0,0,0,1.06,4.25,0,0,0,4.25,0,2.12,0,0,6.37,0,1.06,0,1.06,0,0
 96-106,0,2.19,0,5.46,0,0,2.19,0,1.09,3.28,0,0,0,2.19,1.09,0,0,6.56,0,0,0,0,14.21,0,0,0,1.09,0,0
108-118,0,3.83,0.77,2.3,1.53,0,2.3,0,0.77,0.77,0,0.77,0,2.3,0,0,0.77,4.6,0.77,0,1.53,0,7.66,0,0,0,0,0,0
120,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,7.84,0,0,0,0,5.88,0,0,0,0,0,0
