stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,2,36,4,0,1,0,0,0,0,2,0,0,0,5,0,1,0,0,0,1,0,2,20,1,0,0,0,0,77,1,7,0,9,13,0,0,2,0,0
 24-34,0,0,0,3.28,13.95,0.82,0,4.93,0,2.46,0,0,2.46,0,0,0.82,4.93,0,0.82,0.82,4.1,2.46,2.46,0,0,71.41,0,4.1,0.82,0,0,130.52,0,0,2.46,0.82,19.7,0,0,0,0,0.82
 36-46,0,0,0,0.81,8.86,0,0,2.42,1.61,2.42,0,0.81,3.22,0,0.81,0.81,1.61,0,0,1.61,4.03,8.86,3.22,0,1.61,169.19,0,6.45,0,0,0,82.98,0.81,0,0.81,0,35.45,0,0,3.22,0,0.81
 48-58,0,0,0,0,6.31,0.57,0,42.46,0,2.3,0,6.89,0.57,0,0.57,0,1.15,0,0.57,0.57,3.44,12.05,2.87,0.57,1.72,234.69,0,3.44,0.57,0,0,34.43,0,0,0.57,0,33.85,0,0,1.15,0,5.16
 60-70,0,0,0,0,13.74,0.98,0,144.28,0,7.85,0,5.89,7.85,0,1.96,4.91,0.98,0,1.96,0.98,1.96,38.28,1.96,0,2.94,404.39,0,2.94,0,0,0,38.28,0,0,0,0,41.22,0,1.96,1.96,0,1.96
 72-82,0,0,2.94,0,12.76,1.96,0,239.53,0.98,1.96,0.98,14.72,16.69,0.98,2.94,0.98,1.96,0.98,4.91,0,0.98,72.64,2.94,0.98,0,384.81,0,3.93,0,0,0,33.38,0,0,0.98,0,17.67,2.94,0,0.98,0,2.94
 84-94,0,0,2.12,0,22.3,1.06,0,115.76,0,8.5,0,15.93,14.87,0,2.12,4.25,4.25,0,2.12,0,1.06,45.67,2.12,2.12,3.19,163.55,0,6.37,1.06,0,1.06,71.16,0,0,1.06,0,3.19,2.12,0,2.12,3.19,3.19
 96-106,0,0,1.09,0,39.34,3.28,0,106.01,1.09,6.56,0,16.39,26.23,0,1.09,9.84,4.37,1.09,6.56,2.19,0,43.71,2.19,1.09,2.19,153,0,6.56,2.19,0,1.09,64.48,0,0,1.09,0,6.56,3.28,1.09,4.37,4.37,3.28
108-118,0,0,0.77,0,32.94,1.53,1.53,85.02,0,15.32,0.77,15.32,26.81,0,0.77,9.96,6.89,3.06,3.83,0.77,1.53,72,3.83,0.77,2.3,161.62,0,3.83,2.3,0,0.77,68.94,0,0,0.77,0,3.06,16.85,1.53,5.36,2.3,0.77
120,0,0,1.96,0,62.71,1.96,0,66.63,0,15.68,0,15.68,23.52,0,1.96,19.6,13.72,1.96,1.96,0,0,64.67,5.88,0,3.92,199.9,1.96,5.88,3.92,0,0,78.39,0,0,3.92,0,1.96,7.84,0,0,0,0
