stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,1.64,0,0.82,0,0,13.95,16.42,0
 36-46,0,0.81,0,0.81,0,0.81,0,0,0,0,0,0,2.42,0,3.22,0.81,0.81,0,0,12.89,9.67,0
 48-58,0,0.57,1.72,0.57,0,1.15,0,0,0,0,0,0,11.48,0,2.3,0,0.57,0,0.57,5.16,12.62,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,2.94,0,28.46,0,3.93,0,0,0,0,0.98,15.7,0
 72-82,0,2.94,6.87,5.89,0,0,0,7.85,0,0,4.91,0,43.19,0,7.85,0,3.93,0,0,1.96,26.5,0
 84-94,0,2.12,8.5,1.06,0,0,1.06,5.31,0,1.06,16.99,0,23.36,0,2.12,0,5.31,0,0,0,29.74,0
 96-106,0,10.93,3.28,4.37,1.09,0,1.09,1.09,0,0,42.62,1.09,42.62,1.09,5.46,0,4.37,1.09,0,1.09,36.06,1.09
108-118,0,13.79,7.66,1.53,0,0,0,1.53,0.77,0,29.11,0,45.19,0.77,3.06,0,3.83,0.77,0,0,28.34,0
120,0,5.88,9.8,1.96,0,0,0,0,0,0,15.68,0,25.48,0,7.84,0,1.96,0,0,0,23.52,0
