stage,axial,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,2,0,0,0,0,0,0,0,0,2,0,0,5,0,1,0,0,0,2,1,2,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,1.64,0,0,11.49,0,0,0,0,0,0,0,5.75,0,0,1.64,0
 36-46,0,0,0,8.06,0,1.61,0,0,0.81,0,0.81,0,0.81,0,0,9.67,0,0.81,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,3.44,0,0.57,0,0,0.57,0,0,0,2.3,0,0,5.16,0,0,0,0,1.15,0,0,0.57,0,0,0.57,0
 60-70,0,0,0,10.8,0,0,0,0,0.98,0.98,0,0,1.96,0,0.98,11.78,0.98,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,17.67,0,4.91,0.98,0,0,0,0,0,11.78,0.98,1.96,26.5,0,0.98,0,0,0,0,0,1.96,0,1.96,0,0.98
 84-94,0,0,0,2.12,0,3.19,0,1.06,1.06,0,0,0,5.31,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,6.56,0,3.28,0,0,0,0,1.09,0,8.74,0,0,9.84,0,1.09,0,0,0,0,0,1.09,0,0,1.09,2.19
108-118,0,0.77,0,3.83,0,1.53,0,0,1.53,0.77,0.77,0.77,10.72,0,0.77,12.26,0,0.77,0,0,0,0,0,0,0.77,0,0.77,0
