stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,27.09,0.82,0,0,0,0,44.33,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,1.61,0,0,51.56,0,0,0,0,0.81,69.29,0,0,0,0,0
 48-58,0,0,0,4.59,0,0,0,1.15,0,0,0,0,0,0,0,0.57,68.28,0,0,0,0,0.57,39.59,0,0,0,0,0.57
 60-70,0,2.94,0,24.54,0.98,0,0,1.96,0,0,0,0,0,0.98,0,1.96,95.21,0,0.98,0,0,0,43.19,0,0,0,0,0
 72-82,0.98,0,0,57.92,0,0,0.98,11.78,0.98,0,0,0,0,4.91,0.98,0,136.45,0.98,0,0,0,0,34.36,0,0,0,0,0
 84-94,0,1.06,0,46.73,0,0,0,6.37,0,0,1.06,2.12,0,0,2.12,2.12,88.15,0,3.19,1.06,0,0,15.93,0,1.06,1.06,5.31,0
 96-106,0,0,1.09,55.74,1.09,1.09,0,8.74,2.19,1.09,0,1.09,1.09,2.19,0,1.09,66.66,0,5.46,1.09,1.09,0,7.65,1.09,0,0,4.37,0
108-118,0,1.53,0,35.23,0,0,0,15.32,0,0,0.77,0.77,0,3.06,0,0.77,66.64,0.77,4.6,0,0,0.77,6.89,0.77,2.3,0.77,0.77,0
120,0,0,0,31.36,3.92,1.96,0,13.72,0,0,0,0,0,3.92,0,0,68.59,0,1.96,0,0,0,9.8,0,3.92,0,1.96,1.96
