stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,iridophores,melanocytes,mesenchyme,muscle,neural,pericytes,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,1,0,0,0,1,1,6,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,4.93,0,0,0,2.46,0.82,0
 36-46,0,0,0,0.81,0.81,0,0.81,0,0.81,0,1.61,0,6.45,0,0,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,1.15,0,0,0,1.72,0,9.75,0,0.57,0,0.57,0,0
 60-70,0,0,0,0.98,1.96,0,0,0,0,0,1.96,0,6.87,0,0,0,0.98,0,0
 72-82,0,0,0.98,0.98,2.94,0.98,0,0,0,0,2.94,0.98,10.8,0.98,0,0,2.94,0,0
 84-94,0,0,0,1.06,2.12,0,0,0,0,0,0,0,4.25,0,1.06,0,1.06,0,0
 96-106,0,0,0,2.19,3.28,0,1.09,1.09,0,0,0,0,3.28,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,0,0.77,0,0,0,1.53,0,2.3,0,0,0.77,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0
