stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0.82,9.03,0,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,4.03,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,1.15,0,0,1.72,0,0,0,0,0,2.87,0,0,4.59,0,0.57,0,0,1.15,0,0.57,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,1.96,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,3.93,0,0,4.91,0.98,0.98,0,0,0,3.93,0.98,0,4.91,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,0,0,2.12,0,0,3.19,1.06,0,0,0,1.06,0,1.06,1.06,1.06,0
 96-106,0,0,0,0,1.09,1.09,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,1.53,0,0.77,1.53,0.77,0,0,0,0,1.53,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
