stage,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,9.85,0,0.82,0,6.57,0,0,0,0
 36-46,0,0,0,1.61,0,3.22,0,0,0,0,0,0,0,0,34.64,0,0,0,8.06,0,0,0,0
 48-58,0,0,0.57,2.3,0,1.72,0.57,0,0,0,0,1.15,0.57,0.57,73.45,0,0,0,14.35,0,0,0,0
 60-70,0,0,2.94,11.78,0,5.89,0,0,0,0,0,2.94,0,0.98,166.86,0.98,0,0,41.22,0,0,0,0
 72-82,0,0,1.96,35.34,0,9.82,0,0,0,0,0,1.96,0,0,168.85,0,0,0,30.43,0.98,0,0,0
 84-94,0,0,1.06,18.05,0,5.31,0,0,0,1.06,0,2.12,0,0,81.78,0,0,0,11.68,0,0,0,0
 96-106,0,0,1.09,14.21,0,6.56,1.09,0,0,0,0,2.19,0,0,84.15,1.09,0,0,5.46,0,1.09,1.09,0
108-118,0,0.77,0,11.49,0.77,4.6,0,0,0,0,0.77,0.77,0,0.77,74.3,0,0,0.77,4.6,0,0,0,1.53
120,0,0,3.92,13.72,0,0,0,0,0,0,0,0,0,0,101.91,0,1.96,0,7.84,0,0,1.96,0
