stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,17,1,0,0,0,0,24,1,11,0,0,0,0,0
 24-34,0.82,2.46,0,0,4.1,0.82,0,0.82,0,0.82,0,0,0,0,0.82,0,0,7.39,0,1.64,93.58,0,4.1,0,0,0.82,37.76,0,19.7,0,0,0,0,0.82
 36-46,0,1.61,0,0,16.92,0,0.81,2.42,0,0,0,0,0,0,0,0,0,12.09,0,2.42,218.34,0,2.42,0.81,0,0,13.7,0,39.48,0,0,0,0,0.81
 48-58,0,1.15,0,0,31.56,0,0.57,6.31,0,0,0.57,0.57,0,1.15,0,0,0.57,19.51,0,1.15,355.19,0,0.57,0,0,2.87,10.9,0,36.15,0,0,0.57,0,0
 60-70,0,0.98,0,0,50.06,0,2.94,15.7,0.98,0,0,0,0,0,0,0,0,19.63,0,0.98,638.97,0,0,0,0,2.94,10.8,0,36.32,0,0,0,0,1.96
 72-82,0.98,2.94,0,0,75.59,0,4.91,29.45,2.94,0,0,0,0,0.98,0.98,0,0,33.38,0.98,0.98,630.23,0,1.96,0,0.98,4.91,10.8,0,31.41,0.98,2.94,1.96,3.93,0
 84-94,0,2.12,0,1.06,58.41,0,2.12,14.87,0,0,1.06,0,2.12,1.06,1.06,0,0,25.49,2.12,4.25,311.18,0,1.06,1.06,0,11.68,16.99,0,18.05,0,0,1.06,0,0
 96-106,1.09,3.28,1.09,0,48.09,0,1.09,17.49,2.19,0,0,0,3.28,0,0,1.09,1.09,24.04,1.09,2.19,283.05,0,5.46,0,1.09,12.02,12.02,0,10.93,1.09,3.28,0,1.09,0
108-118,0,6.13,0,0.77,39.06,0,0.77,12.26,1.53,0,0,0,0,0.77,0.77,0,0,15.32,0,0,295.66,0,3.83,0.77,0,3.83,8.43,0,8.43,2.3,0.77,0,0.77,0
120,0,9.8,0,0,58.79,1.96,1.96,17.64,1.96,0,0,0,0,0,0,0,0,15.68,0,1.96,366.48,0,5.88,3.92,0,5.88,5.88,0,23.52,0,0,1.96,5.88,0
