stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,2,1,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,8,3,0,0,0,0,0,0,2,0,191,367,2,0,0,0,0
 24-34,0.82,2.46,0,9.03,124.77,0,0.82,2.46,0.82,4.93,0,0,0,0,0.82,0,4.1,0,0,24.63,45.97,0.82,0,0,0,0,4.1,0,1.64,99.32,224.91,10.67,0,1.64,0,0
 36-46,0,0,0,4.83,213.5,0,0,2.42,0,3.22,0,0,0.81,0,0,0,4.83,0.81,0,16.92,30.62,0,0.81,0,0,0,1.61,0,1.61,82.98,10.47,4.03,0,1.61,0,0
 48-58,0,0,0,13.2,171.57,0.57,0,2.87,0,1.72,0,0,0.57,0.57,0,0,6.89,0,0,16.07,34.43,0,0,0,0,0.57,1.72,0,0,60.82,0,15.49,0,1.72,0,1.15
 60-70,0,0.98,0.98,9.82,89.32,0.98,0.98,0.98,0,0,0,0,0,0,0,0.98,7.85,0,0.98,12.76,14.72,0,0,0,0,0,1.96,0,0,33.37,0,1.96,0,0.98,0,0
 72-82,0,0,2.94,6.87,51.05,0,0,0.98,0.98,0,0.98,0,0,0,0,0,4.91,0,0,5.89,14.72,0,0,0,0,0,1.96,0,0,17.67,0,2.94,0,0,0,0
 84-94,0,2.12,1.06,3.19,73.28,0,2.12,2.12,0,2.12,0,0,1.06,0,0,0,4.25,0,0,11.68,10.62,0,0,0,0,0,1.06,0,0,39.3,0,2.12,0,0,1.06,0
 96-106,0,1.09,1.09,7.65,103.82,0,2.19,0,0,2.19,1.09,1.09,0,1.09,2.19,0,5.46,1.09,0,8.74,21.86,1.09,1.09,1.09,0,0,6.56,0,0,36.06,0,0,1.09,0,0,0
108-118,0,2.3,1.53,9.96,187.66,0,0,2.3,0,0.77,0.77,0,0,0,0.77,0,6.89,0,0,17.62,14.55,0,0,0,0,0,3.06,0,0,50.55,0,0.77,0,0.77,1.53,0
120,0,1.96,0,5.88,135.23,0,0,1.96,0,0,1.96,0,0,0,0,0,7.84,0,1.96,23.52,9.8,0,0,0,0,0,0,1.96,0,23.52,0,0,0,0,0,0
