stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,3,0,0,1,0,0,0,1,0,1,2,0,0,1,0,0
 24-34,0,0,0.82,0,0.82,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,4.1,0,0,0.82,18.88,2.46,1.64,0.82,0,0,0.82,0,5.75,0,0.82,8.21,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0.81,3.22,0,0.81,0,0,0.81,0,0,0,4.83,0,0,0.81,25.78,0,3.22,0,0,0,0,0,5.64,0,0,5.64,0,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,5.74,0,1.15,6.31,0,0,0,0,0,0.57,0,0.57,17.21,0.57,0,1.72,18.36,2.87,4.59,1.15,0,0,0,0,3.44,0,0,7.46,0,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,5.89,0.98,0,9.82,0.98,0,0,0,0,8.83,0,2.94,32.39,0,3.93,0.98,31.41,1.96,5.89,0,0,0,0,0,2.94,0,0,7.85,0,5.89,0,0,0.98
 72-82,0,0,3.93,0,2.94,6.87,14.72,0,2.94,13.74,10.8,0,0,1.96,0,17.67,0,1.96,65.77,0,3.93,1.96,45.16,0,11.78,0.98,0,0,0,0,5.89,0.98,0,2.94,0,14.72,2.94,0.98,1.96
 84-94,0,0,4.25,0,3.19,4.25,11.68,1.06,0,8.5,11.68,4.25,0,0,0,49.92,1.06,1.06,33.99,0,6.37,3.19,27.61,2.12,8.5,2.12,0,0,3.19,0,13.81,0,0,1.06,1.06,13.81,4.25,2.12,2.12
 96-106,0,0,3.28,1.09,7.65,3.28,20.76,0,0,9.84,7.65,0,4.37,0,1.09,45.9,2.19,4.37,28.41,0,4.37,0,27.32,0,24.04,2.19,0,3.28,4.37,0,12.02,0,0,1.09,0,12.02,2.19,4.37,5.46
108-118,0,0,3.83,0,13.02,2.3,17.62,0,2.3,9.19,8.43,0,0.77,0,1.53,78.13,0,5.36,35.23,0,9.19,2.3,33.7,0.77,12.26,0.77,0,3.06,2.3,0,9.19,0,0,3.06,0,7.66,4.6,4.6,2.3
120,0,0,1.96,0,13.72,5.88,17.64,0,0,11.76,7.84,0,1.96,0,0,39.2,0,0,29.4,0,19.6,1.96,27.44,0,9.8,0,0,3.92,1.96,0,17.64,0,0,0,0,7.84,3.92,1.96,3.92
