stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,10.51,0,5.26,0,0,0,13.14,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,136.69,13.14,0,0,76.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,3.15,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,69.23,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,1,6,6,0,3,0,0,0,2,1,0,1,0,0,0,0,0,0,9,0,2,43,1,0,0,2,0,0,0,14,3,16,29,33,0,0,2,0,0
 24-34,0,0,0,0,1.64,0,0,8.21,0,0,0,0.82,0,0,2.46,0.82,0,0,0,0,0,13.95,0.82,6.57,96.86,0.82,0,2.46,0,0,0,0,0,4.1,0,7.39,30.37,0,0,1.64,0,1.64
 36-46,0,0,0,0,0.81,0,0,18.53,0,0,0,6.45,0.81,0,0,0,0,0,0,0,0.81,12.89,0.81,4.83,94.26,1.61,0.81,0,0,0,0.81,0,0,1.61,1.61,0,25.78,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,32.13,0,0,1.15,11.48,0,0,1.15,0.57,0,0,0,1.15,0,18.36,0,4.02,84.35,0.57,0,0,0,0,0.57,0,0,0.57,1.15,0,27.54,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,46.13,1.96,0,0,25.52,1.96,0,0,0.98,0,0.98,0,0,0,25.52,0.98,4.91,71.65,0,0.98,0.98,0,0.98,0,0,0,0.98,0,0,9.82,0,0.98,0.98,0,2.94
 72-82,0,0,0.98,0,0,1.96,0,39.27,0.98,0,0.98,41.23,3.93,0,0.98,0.98,0,0.98,0.98,0.98,0,40.25,0.98,3.93,80.5,0,1.96,0.98,0,0,0,0,0,0.98,0,0,2.94,0.98,1.96,2.94,0.98,0.98
 84-94,0,0,2.12,0,4.25,0,0,29.74,1.06,1.06,1.06,21.24,4.25,1.06,0,1.06,0,1.06,1.06,1.06,0,24.43,2.12,5.31,40.36,2.12,1.06,5.31,0,0,0,0,0,0,0,0,6.37,1.06,2.12,1.06,0,0
 96-106,0,0,1.09,0,3.28,0,0,28.41,0,1.09,0,13.11,1.09,0,0,2.19,0,0,3.28,1.09,0,24.04,0,2.19,32.79,0,2.19,2.19,0,0,0,1.09,0,1.09,0,0,5.46,0,0,4.37,0,2.19
108-118,0,0,0.77,0,1.53,0,1.53,13.02,0.77,0,1.53,10.72,0.77,0,0,0.77,1.53,3.83,1.53,0,0,17.62,0,3.06,34.47,0,0,3.06,0,0.77,0.77,0,0,0,0,0,3.83,0,0.77,1.53,0,0.77
120,0,0,1.96,0,3.92,0,0,13.72,0,0,0,11.76,9.8,0,0,0,0,3.92,3.92,1.96,0,9.8,0,1.96,37.24,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
