stage,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,glial,gut,heart,liver,mesenchyme,neural,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,2.42,0,0,0,0,2.42,0.81,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,1.96,0,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0.98
 96-106,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0.77,0,0,0,0.77,0.77,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,1.96,0,0,0,0,0,0
