stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,4.93,0,0,0,0,0,0,0,0,5.75,0,0,0,0,0,7.39,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0,4.83,0,0,0,0.81,1.61,0,0,0,0,0,0,3.22,0,0,0,16.92,0,0
 48-58,0,0,0,0,0,0,2.87,0,0,0,1.15,28.12,0,0,0,0,0,5.16,0.57,1.15,0,0,11.48,0,0,0,0,0,0,0.57,2.87,0,0,31.56,0,0
 60-70,0,0.98,0,0.98,0,0,6.87,0.98,0,0,0.98,59.87,0,0.98,0,0,0,30.43,0,2.94,0,0,19.63,0,1.96,0,0,0,0,0,1.96,0,0,27.48,0,0
 72-82,0,2.94,0.98,1.96,0,0,11.78,0.98,0,0,1.96,176.7,0,0,0.98,0,0,126.63,0,6.87,0,0.98,43.19,0,0.98,0,0,1.96,0,0,2.94,0,0.98,54.97,0.98,0
 84-94,0,1.06,0,2.12,3.19,1.06,11.68,0,1.06,1.06,2.12,300.56,1.06,0,0,0,0,466.23,0,5.31,0,1.06,28.68,1.06,0,1.06,0,2.12,0,0,1.06,1.06,1.06,56.29,0,0
 96-106,0,5.46,0,4.37,1.09,3.28,14.21,3.28,1.09,1.09,7.65,333.32,0,1.09,1.09,1.09,0,708.16,0,13.11,0,2.19,123.49,0,1.09,1.09,2.19,10.93,0,0,2.19,0,1.09,64.48,1.09,0
108-118,0,0,1.53,9.96,0.77,2.3,13.79,0,1.53,0.77,4.6,258.13,0,0.77,1.53,0,0.77,1368.01,0.77,13.02,0,0.77,98.04,0,2.3,0,1.53,3.06,0,0,0.77,0,0,42.13,0.77,0.77
120,0,0,0,5.88,5.88,0,9.8,0,1.96,0,1.96,145.02,1.96,1.96,3.92,0,1.96,668.29,0,9.8,1.96,1.96,76.43,0,1.96,1.96,0,1.96,0,0,0,0,0,52.91,0,0
