stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,2,35,4,0,0,0,0,0,0,0,1,36,0,0,0,0,0
 24-34,0,0,4.93,1.64,0,0,2.46,0,0,0,2.46,0,0.82,0,0,0,0,0,8.21,0,0,0,123.95,0,0.82,0,0,0,0.82,0,0.82,0,52.53,0,0,0,0,0
 36-46,0,0,0.81,2.42,0,0,6.45,0,0,0,7.25,1.61,0.81,0,0.81,0,0.81,0,1.61,0,0,0.81,268.29,0,0,2.42,0,0,0.81,0,0,0,64.45,0,0,0,0,0
 48-58,0,0,0,3.44,0,0,22.38,0,0,0,5.74,0,0,0,0,0,0.57,0,4.59,0.57,0,0,449.86,0,0.57,0,0,0,0,0,0,0,76.32,0,0,0,0,0.57
 60-70,0,0.98,0,2.94,0,0,179.62,0.98,0,0,13.74,0,0,0,0,0.98,0,0,17.67,0,0,1.96,952.08,0,0,0,0,0,1.96,0,0.98,0,135.45,0,2.94,0,0,0
 72-82,0,3.93,0,2.94,2.94,0,467.27,0,0.98,0.98,52.03,3.93,0,0,0,0,1.96,0,39.27,0,0.98,1.96,1142.65,0,1.96,2.94,0,0,0.98,1.96,0,0,104.06,0,2.94,1.96,1.96,0
 84-94,0,1.06,0,10.62,2.12,0,271.88,0,1.06,1.06,28.68,1.06,0,1.06,0,0,3.19,1.06,21.24,0,0,0,532.08,0,1.06,2.12,0,0,4.25,1.06,0,0,47.79,0,0,1.06,4.25,0
 96-106,0,1.09,0,7.65,3.28,2.19,231.68,1.09,0,0,28.41,4.37,0,0,0,1.09,2.19,0,22.95,0,1.09,0,449.16,0,0,3.28,0,0,4.37,1.09,1.09,0,24.04,0,1.09,2.19,1.09,0
108-118,0,0,0,8.43,0,0,180.77,0,0,0,16.09,3.06,0.77,3.06,0,2.3,0.77,0,24.51,0,0.77,0.77,507.83,1.53,1.53,0.77,0,0.77,1.53,1.53,0,0,13.79,2.3,3.06,0.77,1.53,1.53
120,0,0,0,17.64,0,0,158.74,0,0,0,27.44,0,0,0,0,0,0,0,21.56,0,1.96,0,599.69,0,5.88,1.96,0,0,0,0,1.96,0,37.24,1.96,1.96,3.92,0,0
