stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,3,0,0,0,0,0,0,0,0,0,3,0,0,3,22,0,0,1,0,0,3,0,5,4,0,0,0
 24-34,0,0,0,0,0,3.28,0,0.82,0,0,0,0,0,0,0.82,3.28,0,0.82,1.64,32.01,0,0,0,0,0.82,0,0,0.82,6.57,0,0,0
 36-46,0,0,0,0.81,0,8.06,0,0,2.42,0,0,0,0,0.81,0,3.22,0,0,2.42,16.11,0,0,0,0,1.61,0,0,0,4.03,1.61,0,0
 48-58,0,0,0,1.72,0,12.05,0,0,2.3,0,0.57,0,0,0,0,4.59,0,0,0.57,13.2,0,0.57,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,0,11.78,0,0,3.93,0.98,0,0,0,0,0,3.93,0,0,0,10.8,0,0,0,0,0,0,0,0,2.94,0.98,0,0
 72-82,0,0,0,0.98,0,6.87,0,0,1.96,0,0,0,0,0.98,0,4.91,0,0.98,0,12.76,0,0,0,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,2.12,0,0,0,1.06,1.06,0,0,0,0,6.37,1.06,0,0,5.31,0,0,0,0,3.19,0,1.06,0,2.12,1.06,2.12,1.06
 96-106,0,0,0,0,0,1.09,1.09,0,2.19,0,0,2.19,1.09,0,0,2.19,0,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0.77,0,0,0,0.77,0,0,2.3,0,0,0,7.66,0.77,0.77,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,5.88,0,3.92,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0
