stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,2,1,0,2,0,0,0,0,0,0,7,0,0,0,1,2,0,2,1,0
 24-34,1.64,0.82,0,0,0,0,0,0.82,0,0.82,0,8.21,0,0,0,2.46,0,0.82,0.82,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,2.42,1.61,8.06,0,0,0.81,0.81,0,0,4.83,0,0.81
 48-58,0,0.57,0.57,0.57,0,0,0,0.57,0,2.3,0,11.48,0,0,0,0.57,0,0,2.3,0,0
 60-70,0,3.93,0,0,1.96,0,0,0,0,0.98,0,13.74,0,0.98,0,0,0,0,3.93,0,0
 72-82,0,7.85,0,0,0.98,0,0,0.98,0,0,0,11.78,0,0,0,0,0,0,1.96,0.98,0
 84-94,2.12,5.31,0,0,2.12,1.06,1.06,1.06,0,3.19,1.06,8.5,0,0,3.19,0,0,0,2.12,1.06,0
 96-106,1.09,2.19,0,0,0,1.09,2.19,0,0,2.19,0,8.74,0,0,0,1.09,0,0,0,0,0
108-118,0,3.06,0,0,1.53,1.53,0,0.77,0.77,1.53,0,12.26,0,0,0.77,0.77,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0
