stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,8,0,0,1,0,3,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,0,5.75,0,0,0,0.82,0,0,0,0,0,0,0,0,11.49,0,1.64,83.73,0,2.46,6.57,0,7.39,0.82,0.82,18.88,0,0,0,0,0
 36-46,0,0,0,0,0,7.25,0,0,0.81,0,0,0,0,0,0,0,0,0,15.31,0.81,0,183.69,0,1.61,6.45,0,11.28,0,0,35.45,0,0,0,0,0
 48-58,0,0,0,0.57,0,20.66,0,0,0.57,1.72,0,0,0,0,0,0,0,0,22.38,0,1.15,200.83,0,1.15,2.3,0,2.87,0.57,0,37.87,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,114.84,0.98,0,0.98,6.87,0,0.98,0,0,0,0.98,0,0,38.28,1.96,0,342.55,0,0,6.87,0,2.94,0,0,29.45,0,1.96,0.98,0.98,1.96
 72-82,0,0,0,1.96,1.96,326.89,2.94,1.96,3.93,20.61,0,0,0.98,0,0.98,2.94,0,0.98,87.37,2.94,1.96,526.17,0,1.96,18.65,1.96,1.96,0,0,24.54,0,3.93,0.98,5.89,0.98
 84-94,0,0,0,10.62,2.12,219.84,2.12,2.12,0,14.87,0,1.06,0,0,1.06,1.06,0,0,50.98,3.19,5.31,333.48,0,1.06,21.24,0,1.06,1.06,0,10.62,0,2.12,1.06,8.5,0
 96-106,0,0,0,7.65,3.28,263.38,6.56,1.09,1.09,27.32,2.19,0,1.09,0,0,5.46,0,0,66.66,4.37,3.28,326.76,0,4.37,21.86,3.28,6.56,1.09,0,12.02,0,2.19,1.09,7.65,0
108-118,0,0,0,6.89,1.53,267.32,7.66,0,3.06,35.23,0.77,0.77,0,2.3,0,6.13,0.77,0,45.19,0.77,0,408.26,0,0,19.15,1.53,3.06,0,0,9.96,1.53,3.06,0,4.6,0
120,0,0,0,9.8,0,252.81,7.84,3.92,0,39.2,0,0,1.96,0,3.92,1.96,0,0,58.79,0,1.96,440.95,1.96,1.96,23.52,0,13.72,0,0,11.76,0,1.96,3.92,5.88,0
