stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,lateral_line,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pgc,somites,spinal_cord
  3-4,118.6,2200.71,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0
  5-6,67.43,931.7,6.13,0,0,0,0,0,6.13,0,0,0,24.52,0,12.26,18.39,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,2.63,0,0,0,44.69,5.26,13.14,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,4.03,0,0,0,0,0,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0.98,0,1.96,5.89,0,0,0,0,0,0
 84-94,0,0,0,3.19,2.12,0,0,0,0,0,0,2.12,4.25,0,0,0,0,0,0
 96-106,0,0,0,3.28,1.09,0,1.09,0,0,0,0,1.09,4.37,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0.77,0,0,0,0,0,0.77,5.36,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0,0,0,0,0
