stage,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,12.59,0,3.15,0
 14-21,0,4,0,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,19.7,0,0,0,0,0,0,0,0,1.64,0,0,0.82
 36-46,0,1.61,0,2.42,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,0,0,0,0,1.15,0,0,0
 60-70,0,1.96,0,0.98,0.98,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,0,0,0.98,0,0,4.91,0,0,0,0,0
 84-94,0,1.06,1.06,2.12,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,5.46,0,5.46,0,0,0,1.09,4.37,1.09,1.09,1.09,0,0
108-118,0,1.53,2.3,2.3,0,0,2.3,0,3.83,0,0.77,0,0,0
120,0,1.96,1.96,1.96,0,0,1.96,0,1.96,0,0,0,0,0
