stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,1,8,0,0,0,0,1,6,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0.82,19.7,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,0,0,0,2.42,0,1.61,42.7,0.81,0,0,0,0,4.83,0,0,0
 48-58,0,0,0,0,9.18,1.15,0,0,0.57,0,3.44,0,1.15,30.41,0.57,0.57,0.57,0,0,8.03,0,0.57,0
 60-70,0,0,0,0,3.93,0,0,0.98,0,0,0,0,0,9.82,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,10.8,2.94,0,0,0,0,1.96,0,0.98,14.72,0,0,0,0,0,0.98,0.98,1.96,0
 84-94,0,0,0,1.06,3.19,1.06,0,0,0,0,1.06,1.06,0,7.43,0,0,0,2.12,0,0,0,1.06,0
 96-106,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0,0,5.46,0,0,0,1.09,0,1.09,0,0,0
108-118,0,0,0,0.77,7.66,0.77,0,0,0,0,0.77,0,0,5.36,0,0,0,0.77,0,0,0,0,0
120,0,0,0,0,7.84,1.96,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0
