stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,39.53,777.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0
  5-6,30.65,876.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,15.77,15.77,34.17,0,0,65.72,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,604.6,13.14,0,0,262.87,2.63,5.26,0,0,0,0,0,0
 10-12,3.15,6.29,18.88,0,3.15,47.2,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,512.96,3.15,0,0,223.43,0,0,3.15,18.88,0,0,3.15,0
 14-21,0,0,2,10,1,4,0,0,0,4,1,0,0,0,1,0,0,1,0,6,0,0,4,88,1,1,0,1,2,0,7,2,1,5,28,1
 24-34,0,0,0,5.75,0.82,44.33,0,0.82,0,7.39,0.82,0,0.82,0,0.82,0,0,0.82,0.82,23.8,0,0,6.57,265.96,0.82,1.64,4.1,0,3.28,0,0,0,0,1.64,48.43,6.57
 36-46,0,0,0,2.42,0.81,124.07,0.81,0,0,4.03,0.81,0,0,0,0.81,0,0.81,0,0,13.7,0,0,7.25,247.34,0.81,0.81,0.81,0,3.22,0,0,0,0,0,37.87,3.22
 48-58,0,0,0,2.87,1.15,156.07,0,0,1.15,2.3,0,0,0,0.57,0.57,0,0,0,0,25.25,0.57,1.72,4.59,108.45,0.57,1.15,0.57,0,1.72,0,0,0,0,0,20.66,0
 60-70,0,0,0,3.93,0,115.82,0.98,0,0,5.89,1.96,0.98,0,0,0,0,0.98,0,0,20.61,0,0,0.98,63.8,0.98,0.98,0,0,0.98,0,0,0,0,0,1.96,3.93
 72-82,0,0,0,4.91,0.98,42.21,0,0,0,4.91,0,0,0,0,0,0,0.98,0,0,15.71,0,0.98,1.96,31.41,0,2.94,0,0,0,0,0,0,0,0,2.94,0.98
 84-94,0,0,0,2.12,3.19,29.74,0,0,1.06,5.31,1.06,0,0,1.06,0,0,0,0,0,11.68,0,0,2.12,15.93,0,1.06,0,0,0,0,0,1.06,0,0,1.06,3.19
 96-106,0,0,0,0,0,12.02,1.09,0,0,7.65,0,0,0,0,0,0,1.09,0,0,6.56,0,0,0,8.74,0,0,2.19,0,0,0,0,0,0,0,0,3.28
108-118,0,0,0,0,2.3,12.26,0,0,0,2.3,0,0,0,0.77,0,0.77,0.77,0,0,3.83,0.77,2.3,2.3,14.55,0,0.77,0,0,0.77,0,0,0,0,0,1.53,0
120,0,0,0,5.88,1.96,23.52,0,0,0,13.72,0,0,0,1.96,1.96,0,0,0,0,5.88,0,0,3.92,37.24,0,1.96,0,0,0,0,0,0,0,0,0,0
