stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,5,2,3,1,0,0,20,0,0,121,0,0,0
 24-34,0,0,0,0,2.46,0,0.82,0,44.33,0,0,0,0,0,0,2.46,0,0,1.64,19.7,0.82,10.67,2.46,0,0,25.45,0,0.82,98.5,0,0,0
 36-46,0,0,0.81,0,1.61,0,0.81,0,39.48,0,0,0,0,0,0,1.61,0,0,3.22,24.98,0,14.5,0,0,0,12.89,0,0,58.01,0,0,0
 48-58,0,0,0.57,0,2.3,0.57,1.15,0,40.74,0,0,0.57,0.57,0,0,2.3,0,0,1.15,17.21,0.57,15.49,2.3,0,0,4.02,0,0,57.95,0,0,0.57
 60-70,0,0,0,0,1.96,0,0,0,43.19,0,0,1.96,1.96,0,0,4.91,0.98,0,0,7.85,0,17.67,0.98,0,0,4.91,0,0,39.26,0,0,0
 72-82,0,0,0.98,0,11.78,0,0,0.98,80.5,0,0,6.87,2.94,0,0,2.94,0,0.98,0.98,12.76,0,39.27,3.93,0,0,1.96,0,0,22.58,1.96,0,0.98
 84-94,0,2.12,0,1.06,8.5,0,0,0,52.04,0,0,10.62,5.31,0,0,13.81,0,0,0,5.31,0,42.48,9.56,0,0,7.43,0,0,26.55,0,0,0
 96-106,0,6.56,1.09,0,24.04,0,0,0,30.6,0,1.09,9.84,12.02,0,1.09,6.56,0,0,0,13.11,0,55.74,10.93,0,1.09,10.93,1.09,0,22.95,0,0,0
108-118,0,3.06,0,0,23.74,0,0,0,24.51,0,0,7.66,7.66,0.77,0,9.96,0,0,0,5.36,0,40.6,11.49,0,0.77,12.26,0,0,16.09,0,0.77,0
120,0,0,3.92,0,25.48,0,0,0,3.92,1.96,0,1.96,11.76,0,0,1.96,0,0,0,5.88,0,13.72,7.84,0,0,5.88,0,0,5.88,0,0,0
