stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,10.51,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,141,0,0,1,1,2,0,0,2,55,0,0,0,0
 24-34,0,0,0,1.64,0,22.98,0,0,0,0,0,0,0,0,0,0,0.82,0.82,1.64,0,0,377.59,0,14.78,0,1.64,0,0.82,0.82,0,108.35,0,0,0,0
 36-46,0,0,0,1.61,0,29,0,0,0,3.22,0,0,0,0,0,0,0,0,5.64,0,0.81,667.9,0,5.64,0,2.42,0,0,0,0,159.52,0,0.81,0,0
 48-58,0,0,0,2.3,0,39.59,0,1.72,0,8.61,0.57,1.15,0,0,1.15,0,0,0,9.75,0.57,1.72,758.57,0,6.31,0,0.57,0,0.57,0,0,214.6,0,0.57,0,0
 60-70,0,0,0,0.98,0.98,31.41,0,0.98,0,11.78,0,0,0,0,0.98,0,0,0,2.94,0,0.98,600.69,0,3.93,0,3.93,0,0.98,0,0,163.91,0,0,0.98,0.98
 72-82,0,0,0,4.91,0.98,34.36,0,0,0.98,10.8,0,0,0,0,0,3.93,0.98,0,8.83,0.98,0,318.06,0.98,16.69,0,1.96,0,0,0,0,48.1,0,0,0,0.98
 84-94,0,0,0,0,0,33.99,0,0,1.06,7.43,0,1.06,1.06,0,0,2.12,0,0,14.87,0,1.06,143.38,0,18.05,0,2.12,0,0,0,0,29.74,0,1.06,0,1.06
 96-106,0,0,0,1.09,0,24.04,1.09,0,0,9.84,0,0,0,1.09,0,4.37,1.09,0,4.37,0,0,102.73,0,16.39,0,0,0,0,0,0,16.39,0,0,0,0
108-118,0,0,0,4.6,0.77,14.55,0,0,0.77,4.6,0.77,0,0.77,0.77,0,0,0,0,3.83,0,0.77,98.81,0,13.79,0,0.77,0,0,0,0,3.83,1.53,0.77,0,0
120,0,0,0,3.92,1.96,13.72,0,0,3.92,7.84,0,0,0,0,0,0,0,0,1.96,0,1.96,125.43,0,13.72,0,0,0,0,0,0,3.92,0,0,0,0
