stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,heart,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,2,0,0,1,6,0,6,5,0,0,0,0,4,1,8,1,0,0,0,0
 24-34,0,0.82,0,0.82,0,0,0,0,0,0,5.75,0,4.93,9.03,0,0.82,0,1.64,0,0,1.64,1.64,0,0.82,0,0
 36-46,0,1.61,0,0.81,0,2.42,1.61,0,0,0.81,8.86,0,1.61,9.67,0,2.42,0,0,0,0,0,1.61,0,0,0,0.81
 48-58,0.57,0,0,3.44,0,5.16,0,0,0,1.15,8.03,0,0.57,13.77,0,1.72,0.57,0.57,0,0,0,5.74,0,0.57,0,0
 60-70,0,2.94,0,5.89,0,7.85,0,0,0,0,12.76,0,3.93,16.69,0,1.96,0,0.98,0,0,0,5.89,0,0,0,1.96
 72-82,0,0,0,11.78,0,9.82,0.98,0.98,0.98,0,11.78,0,5.89,27.49,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0.98
 84-94,0,1.06,0,7.43,0,6.37,0,2.12,0,1.06,10.62,1.06,0,14.87,1.06,3.19,0,0,0,0,0,1.06,0,0,1.06,2.12
 96-106,0,2.19,0,5.46,0,7.65,0,2.19,1.09,0,7.65,0,3.28,9.84,0,2.19,1.09,2.19,0,0,0,3.28,0,1.09,0,3.28
108-118,0,0.77,0.77,8.43,0,6.89,0.77,0,0,0,10.72,0,2.3,10.72,0.77,1.53,0,0,0,0,0,0,0.77,0,0,1.53
120,0,1.96,1.96,3.92,1.96,9.8,0,0,0,0,3.92,0,5.88,9.8,0,0,0,0,0,0,0,0,0,0,0,0
