stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,1,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0.82,0,0,0,0,5.75,0,0.82,15.6,0,0,0,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0,2.42,0,1.61,0,0,0,0,0,0,4.83,0.81,1.61,7.25,0,0,0,0,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,0,2.87,0,2.3,0,0,0,0,0,0,3.44,0,0,4.59,0,0,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,6.87,0,0,9.82,0,0.98,0,0,0,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,0,3.19,1.06,1.06,0,0,0,0,0,0,4.25,0,0,11.68,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,2.19,2.19,0,2.19,1.09,0,0,1.09,0,0,2.19,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0.77,0,0,0,0,0,0.77,0.77,0,0.77,2.3,0,0,2.3,0,0,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,0,0,3.92,0,3.92,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
