stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,15,0,0,0,0,0
 24-34,0,0,0,1.64,1.64,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,87.01,0,7.39,0,0,0.82,0.82,77.16,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,170,0,4.03,1.61,0,0,0,137.77,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,10.9,0,1.15,12.62,0,0,2.3,0,1.15,0,0.57,2.3,0,0,0,269.69,1.72,3.44,1.72,0,0.57,0,119.93,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,70.67,0,0,46.13,1.96,0,2.94,0.98,0.98,0.98,0.98,4.91,0,0,0,532.97,0,10.8,0,0,0,0,135.45,0,0,0.98,0,0
 72-82,0,0,0.98,0,1.96,0.98,157.07,0,0.98,91.29,1.96,0,0,0,1.96,0,0,5.89,0,1.96,0,650.84,0,12.76,5.89,0,0.98,0,93.26,0,0,1.96,1.96,0
 84-94,0,0,1.06,0,4.25,0,98.77,0,1.06,55.23,0,0,2.12,1.06,2.12,0,0,1.06,0,0,0,324.98,1.06,7.43,3.19,0,0,0,32.92,0,1.06,0,4.25,0
 96-106,0,0,0,0,0,0,121.31,1.09,1.09,60.11,3.28,0,4.37,0,5.46,1.09,0,8.74,1.09,1.09,0,304.9,1.09,12.02,8.74,0,2.19,0,27.32,0,1.09,1.09,5.46,0
108-118,0,0,0,0,3.83,0,101.11,0,0.77,49.02,0.77,0.77,2.3,0.77,1.53,0,0,3.83,0,0,0.77,259.66,0.77,4.6,3.06,0,1.53,0,8.43,0.77,0,0,3.83,0.77
120,0,0,0,0,3.92,1.96,101.91,1.96,1.96,50.95,0,0,0,0,0,0,0,3.92,1.96,0,1.96,358.64,1.96,9.8,9.8,1.96,0,0,35.28,0,0,1.96,0,0
