stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,7669.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698.43,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.15,14502.72,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300.35,6.13,0,0,91.94,0,441.33,0,0,0,0,0,0,0,0,0,0,0
  7-9,28.92,567.8,276.01,0,5.26,1508.88,0,0,0,0,0,49.95,0,0,0,0,0,0,0,0,0,0,17751.7,115.66,0,0,4960.38,0,31.54,5.26,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,226.58,100.7,0,18.88,305.26,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,6879.27,59.79,0,0,2331.9,0,3.15,6.29,9.44,75.53,0,25.18,9.44,0,0,0,0,0
 14-21,0,2,0,101,17,16,0,0,0,14,14,4,0,0,2,0,0,12,35,0,0,33,88,1,0,11,17,0,1,0,1122,2,42,886,118,0,0,0,0,16
 24-34,0,0,0,10.67,2.46,56.64,0,0.82,4.93,1.64,0,2.46,1.64,0,0.82,0,0,56.64,142.01,0,0,39.4,134.62,0,1.64,60.74,0,0,1.64,0,4.1,1.64,1.64,197.83,13.95,0,0,0.82,0,55.82
 36-46,0,0,0,8.86,0,57.2,0.81,0,11.28,15.31,0,0,6.45,0,4.83,0.81,0,103.13,377.86,1.61,0.81,72.51,172.41,2.42,0,47.53,0,0,0,0,0.81,1.61,0,0.81,38.67,0,0,1.61,0,43.51
 48-58,0.57,0,0,8.61,1.15,102.71,0,0.57,20.66,25.25,0,0,2.87,0,5.16,0.57,0,84.92,646.68,0.57,1.15,82.05,93.53,1.72,0.57,30.99,0,0.57,0.57,0,0,1.72,0,0,28.12,0,1.15,0.57,0,65.99
 60-70,0,0,0,9.82,0,85.39,1.96,1.96,22.58,64.78,0.98,0.98,2.94,0,11.78,0.98,0.98,52.02,836.26,0,2.94,68.71,78.52,1.96,0,27.48,0,1.96,1.96,0,0,1.96,0.98,0,10.8,0.98,2.94,2.94,0.98,92.26
 72-82,0,0,0,10.8,0,120.74,0,0.98,29.45,107.98,0,0,6.87,0.98,14.72,0,0,54.97,1121.06,0,3.93,75.59,79.51,1.96,0,33.38,0,3.93,1.96,0,0,3.93,0,0,13.74,0,8.83,2.94,1.96,106.02
 84-94,0,0,0,21.24,3.19,121.07,2.12,0,25.49,66.91,0,0,4.25,0,31.86,1.06,1.06,97.71,734.93,0,4.25,35.05,46.73,0,0,30.8,0,1.06,3.19,0,0,8.5,0,0,6.37,4.25,6.37,4.25,7.43,89.21
 96-106,1.09,0,0,13.11,2.19,92.89,0,1.09,16.39,95.08,1.09,0,3.28,2.19,24.04,2.19,1.09,61.2,607.62,1.09,2.19,22.95,71.04,1.09,0,40.44,0,6.56,2.19,0,0,3.28,0,0,2.19,0,3.28,0,0,103.82
108-118,0,0,0,8.43,0,59.75,0,0,10.72,62.04,0.77,0,0.77,0.77,36.77,0,1.53,74.3,437.36,2.3,3.06,16.85,52.09,0,1.53,29.11,0,3.83,2.3,0,0,1.53,0,0,6.13,0.77,0.77,0.77,0,114.89
120,1.96,0,0,5.88,0,62.71,0,0,13.72,60.75,0,0,1.96,0,11.76,1.96,3.92,37.24,339.04,1.96,3.92,7.84,62.71,0,0,27.44,0,1.96,1.96,0,0,3.92,0,0,3.92,1.96,1.96,1.96,0,43.12
