stage,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,neural,olfactory,otic,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,8.86,0,0,2.42
 48-58,0,0,0,1.15,0,0.57,0,0,0.57,0,0,0,16.07,0,0,1.72
 60-70,0,0,0,5.89,0,0.98,0,0,0,0,0,0,29.45,0,0,1.96
 72-82,0,0,0,5.89,0,0.98,0.98,0,0,0,0,0,24.54,1.96,0,0.98
 84-94,0,0,0,4.25,0,0,0,0,0,0,0,0,11.68,1.06,1.06,0
 96-106,0,0,0,1.09,1.09,0,0,0,0,1.09,0,1.09,12.02,1.09,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,9.19,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0
