stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,15.77,0,0,0,13.14,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,99.89,0,0,0,39.43,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,0,15.73,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,69.23,3.15,0,0,47.2,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,1,19,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,3.28,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,142.83,0,19.7,0,0,0,0.82,0,0,0,0,54.18,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,11.28,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0.81,499.51,0,26.59,0,0,0,0,0,0,0,0,112.79,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,77.46,0,0.57,0,5.74,0.57,0,0,0,0,0,0,0,0,9.18,0,0,1.15,781.52,0.57,25.25,0.57,0,0,0.57,0,0,0,0,127.96,0,0.57,0.57,0,0.57
 60-70,0,0,0,0,4.91,0,0,332.74,0,0,0.98,13.74,0,0.98,0,0,0,1.96,1.96,0,0,8.83,0,0.98,0.98,1188.62,0,35.33,1.96,0,0,2.94,0,0,0,0,156.06,0,0,0,0,0.98
 72-82,0,0,1.96,0,11.78,4.91,0,596.85,0,0,0,47.12,1.96,0,0,0,0,0.98,0.98,0,0,23.56,0,1.96,0.98,1118.11,0,83.44,5.89,0,0,0.98,0,0,0,0,93.26,0.98,0,3.93,0,0.98
 84-94,0,0,2.12,0,12.74,0,0,451.37,0,0,1.06,21.24,1.06,2.12,1.06,1.06,1.06,0,0,2.12,0,8.5,0,1.06,0,603.24,0,65.85,11.68,0,0,2.12,0,0,0,0,50.98,2.12,0,2.12,1.06,0
 96-106,0,0,2.19,0,10.93,6.56,0,577.02,2.19,0,1.09,48.09,4.37,0,0,2.19,0,3.28,0,3.28,1.09,16.39,0,0,1.09,633.85,0,123.49,18.58,0,0,8.74,1.09,0,1.09,0,32.79,16.39,0,4.37,0,1.09
108-118,0,0,0,0,11.49,5.36,0.77,513.96,0,0,0.77,49.02,2.3,0,0,1.53,0,0.77,0.77,9.19,0,14.55,0,1.53,1.53,853.28,0.77,86.55,5.36,0,0,6.13,0,0,0,0,30.64,29.87,0,2.3,1.53,3.06
120,0,0,1.96,0,15.68,1.96,0,564.42,0,3.92,0,56.83,0,0,1.96,1.96,0,1.96,0,13.72,0,11.76,0,1.96,0,1162.15,7.84,68.59,17.64,0,3.92,3.92,0,3.92,0,0,35.28,19.6,0,0,1.96,0
