stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,13.14,0,0,0,21.03,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,3.15,0,0,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,17,0,0,1,0,0,0,1,1,7,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,0,1.64,0,0.82,31.19,0,1.64,0,0,0,0,0,0,4.93,0.82,0,0
 36-46,0,0,0,0,12.09,0.81,2.42,0,0,0,0,0,0,8.86,0,1.61,41.09,0,2.42,0,0,0,0,0,0,14.5,0,0,0
 48-58,0,0,0,0,19.51,0.57,7.46,0,0,0,0,0,0.57,9.18,0,1.72,52.22,0,1.15,0,0,0.57,0,0,0,12.62,0,0,0
 60-70,0,0,0,0,16.69,0,7.85,0,0,0,0,0,0,6.87,0,0.98,44.17,0,0,0,0,0,0,0,0,8.83,0,0,0
 72-82,0,0,0,0,20.61,0,6.87,0,0,2.94,0,0,0,13.74,0.98,0.98,38.28,0,3.93,0.98,0,0,0,0,0,7.85,0,0,0
 84-94,0,0,1.06,1.06,7.43,0,5.31,0,0,0,0,0,1.06,8.5,0,0,14.87,0,0,0,0,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,6.56,0,9.84,0,0,1.09,0,0,0,6.56,0,2.19,8.74,0,3.28,0,0,0,0,0,0,3.28,2.19,0,0
108-118,0,0,1.53,0,4.6,0,6.13,0,0,0.77,0,0.77,0,9.96,0,0.77,22.98,0,0.77,0,0,0,0,0,0,2.3,0.77,0,0.77
120,0,0,1.96,0,5.88,0,3.92,0,0,1.96,0,0,0,7.84,0,1.96,9.8,0,0,0,0,0,0,0,0,0,1.96,0,0
