stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.14,2213.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,2813.5,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,12.26,0,42.91,0,0,0,0,0,0,0,0,0,0,0
  7-9,39.43,68.35,0,84.12,0,2.63,191.9,0,0,0,0,0,94.63,0,0,0,0,0,0,0,0,0,0,0,1590.37,47.32,0,0,588.83,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,37.76,0,50.35,0,3.15,135.32,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,1208.44,37.76,0,0,352.46,0,3.15,12.59,3.15,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,3,41,12,34,0,1,0,11,2,0,0,0,2,0,0,0,1,36,0,0,26,402,13,3,4,8,0,4,2,44,2,0,53,126,0,0,1,0,0
 24-34,0,0,0.82,1.64,18.06,1.64,90.29,0,2.46,0,13.95,1.64,0,1.64,0,2.46,1.64,0.82,0,0.82,63.21,1.64,0.82,33.66,863.54,4.1,9.03,9.03,0,0,9.03,0.82,0,0.82,0,9.03,193.72,0,0,6.57,0,0
 36-46,0,0,0,0,9.67,0,142.6,0,0,3.22,22.56,0,0,3.22,0.81,0.81,0,2.42,0,0.81,82.98,0,1.61,24.17,660.65,2.42,5.64,1.61,0,0,11.28,0,0,0.81,0.81,0,150.66,0,0,5.64,0,1.61
 48-58,0,0,0,0,4.59,0.57,192.22,0.57,2.3,5.74,48.2,0.57,0.57,0.57,0.57,0,0.57,0.57,0.57,1.15,106.73,0.57,2.87,10.33,534.79,2.3,2.3,1.15,0,0,4.59,0,0,0.57,0,0,120.5,0,0.57,3.44,0,1.72
 60-70,0,0,0.98,0,12.76,1.96,237.53,0.98,0,6.87,44.17,0,0,0,3.93,0.98,0.98,0,0,0,95.21,0,0.98,16.69,576.15,1.96,4.91,0,0,0.98,8.83,0.98,0,0.98,0,0,74.6,0,1.96,9.82,0.98,0
 72-82,0,0,4.91,0,15.71,2.94,211.06,0,0.98,11.78,55.95,1.96,0,3.93,0.98,0.98,3.93,5.89,0.98,0,173.75,0.98,3.93,10.8,448.62,0.98,11.78,7.85,0,0.98,7.85,0,0,0.98,0,0,40.25,0.98,0,8.83,3.93,0.98
 84-94,0,0,2.12,0,19.12,3.19,144.44,1.06,0,8.5,35.05,6.37,1.06,0,8.5,4.25,1.06,1.06,2.12,1.06,114.7,2.12,2.12,13.81,215.59,3.19,2.12,10.62,0,0,22.3,0,0,1.06,0,0,35.05,1.06,0,9.56,2.12,1.06
 96-106,0,0,3.28,0,17.49,6.56,89.61,0,2.19,6.56,42.62,4.37,0,3.28,4.37,3.28,2.19,5.46,2.19,0,90.71,0,0,8.74,186.88,0,4.37,13.11,0,3.28,28.41,0,0,2.19,0,0,6.56,1.09,2.19,12.02,2.19,1.09
108-118,0,0,0,0,12.26,2.3,74.3,2.3,1.53,2.3,29.87,3.83,0,1.53,6.13,1.53,3.06,3.06,0.77,0,54.38,0.77,2.3,13.79,231.32,2.3,3.83,2.3,0,0.77,13.02,0,0,0.77,0,0,10.72,1.53,1.53,7.66,6.13,2.3
120,0,0,0,0,21.56,7.84,82.31,1.96,5.88,9.8,29.4,13.72,0,0,3.92,3.92,1.96,1.96,1.96,1.96,50.95,1.96,0,9.8,223.42,5.88,0,1.96,0,0,11.76,0,0,1.96,0,0,17.64,0,3.92,11.76,0,0
