stage,endoderm,epidermis,eye,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pronephros,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0,0,1
 24-34,0.82,1.64,0,0,0,0,0,0,0.82,2.46,0.82,0,0,0.82
 36-46,0.81,0.81,1.61,0,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57
 60-70,0,0,1.96,0,0,0,0,1.96,0,5.89,0,0,0,0
 72-82,0,0,1.96,0,0,1.96,0,3.93,0,7.85,0,0,0.98,0
 84-94,0,0,3.19,0,0,1.06,0,2.12,0,2.12,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,0,3.28,0,3.28,0,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,6.13,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0
