stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,13,1,0,0,0,0,1,0,5,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0,0,1.64,0,0,4.1,13.13,0,0,0.82,0,0,0,0.82,5.75,0,0,0,0
 36-46,0,0,0.81,0.81,0,0,0.81,0,0,0,0,5.64,0,0,1.61,27.39,0.81,0,0,0,0.81,0,0,8.86,0,0,0,0
 48-58,0,0,0,4.59,0,1.15,2.3,0,1.15,0,0,12.62,0,0,0.57,17.79,0,0,0.57,0,0,0,0,6.31,0,0,0,0
 60-70,0,1.96,0,0.98,0,0,1.96,0,0,0,0,15.7,0,0,0.98,17.67,0,0,0,0,0,0,0.98,4.91,0,0,0,0
 72-82,0,4.91,0,8.83,0,1.96,3.93,0,0.98,0,0,23.56,0,0,0.98,19.63,0.98,0.98,0,0,0,0,0,2.94,0,1.96,0.98,0
 84-94,0,25.49,0,4.25,0,0,2.12,1.06,0,0,0,12.74,1.06,1.06,0,2.12,0,0,0,0,1.06,0,0,1.06,0,2.12,0,0
 96-106,0,32.79,0,1.09,1.09,0,3.28,2.19,0,2.19,1.09,8.74,2.19,0,1.09,2.19,0,0,1.09,0,0,0,0,0,0,6.56,0,1.09
108-118,0.77,52.09,0,3.06,1.53,0,2.3,0,0,0,0,6.13,0,0,0.77,10.72,0,0,0,0,2.3,0,0,0,0,4.6,0.77,0.77
120,0,17.64,1.96,1.96,0,0,1.96,0,0,0,0,7.84,0,1.96,1.96,9.8,0,0,0,0,0,0,0,1.96,1.96,0,0,0
