stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature
  3-4,26.36,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,711.04,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,12.26,0,0,0,0,0,0,0
  7-9,7.89,23.66,55.2,0,0,118.29,0,0,0,5.26,0,0,0,0,0,751.81,5.26,0,289.16,0,2.63,0,2.63,0,0,0,0
 10-12,0,25.18,56.65,0,3.15,69.23,0,0,0,3.15,0,0,0,0,0,616.81,3.15,0,195.11,0,0,0,25.18,0,3.15,0,0
 14-21,0,0,6,30,8,16,0,12,2,0,2,0,13,0,14,256,3,0,5,0,0,26,0,1,21,84,4
 24-34,0,0,0,0,0,8.21,0,3.28,0,0,0,0,7.39,0,1.64,82.09,0,0,0,0,0,0,0,0,0.82,29.55,4.1
 36-46,0,0,0,0.81,0,12.09,0.81,2.42,0,0,0,0,9.67,0,3.22,44.31,0,0.81,0,0,0,0,0,0,0,17.72,0
 48-58,0,0,0,1.15,0.57,1.15,0,0.57,0,0,0,0,3.44,0.57,1.72,10.33,0,0,0,0,0,0,0,0,0,4.02,0
 60-70,0,0,0,0.98,0,2.94,0,2.94,0,0,0,0,1.96,0,1.96,5.89,0,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,1.96,0,0,0,0,3.93,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
