stage,epidermis,erythrocytes,eye,glial,gut,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,1,0,0,0,0,0,1,0,11,0,0,0,0,1,2,1,37,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,2.46,3.28,0,0,0,0,0,0,1.64,2.46,0
 36-46,0,0,3.22,0,0,0.81,0,0.81,0,0.81,2.42,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,4.59,0.57,0,0,0,1.15,0.57,1.15,13.2,0,0.57,0,1.15,0,0,0,1.15,0
 60-70,0,0,7.85,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
 72-82,0,1.96,23.56,0,0.98,0,0,5.89,0,0,21.6,0,0,0,0,0,0,0,1.96,0
 84-94,1.06,0,11.68,0,0,0,0,1.06,0,0,2.12,0,0,0,4.25,0,0,0,0,0
 96-106,1.09,1.09,15.3,0,0,0,0,2.19,0,0,6.56,0,0,0,0,0,0,0,1.09,0
108-118,0,0,18.38,0.77,0,0,0.77,0.77,0,0.77,3.83,0,0,0.77,0.77,0,0,0,0,0.77
120,1.96,1.96,19.6,0,0,0,0,3.92,0,0,9.8,1.96,0,1.96,0,0,0,0,0,0
