stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,1.64,0,0.82,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,2.42,0,2.42,0.81,0,0,0,0,1.61,0.81,0,0
 48-58,1.15,0.57,0,0.57,0.57,0,1.15,1.15,4.02,0.57,2.3,1.72,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,2.94,0,0,0,3.93,0,0,0.98,0,0.98,0,0,0,0,0,0
 72-82,0,0.98,0,0,3.93,0.98,0,0,8.83,0,0,0.98,0,1.96,1.96,0,0,0,0.98,0
 84-94,1.06,1.06,0,0,0,0,0,0,7.43,1.06,0,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,1.09,1.09,0,5.46,3.28,0,0,7.65,0,2.19,2.19,0,1.09,4.37,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,4.6,0,0,0,0,0,0.77,0,0,0,0.77,0.77
120,0,1.96,0,0,1.96,0,0,3.92,5.88,0,1.96,0,0,1.96,1.96,0,0,0,0,0
