stage,axial,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,immune,lateral.line,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,15.77,0,0,7.89,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0
 24-34,0,0,0,0.82,0.82,0.82,0,0,0,1.64,0.82,0,0,0,0,1.64,0.82,0,0
 36-46,0,0,0,2.42,0,0,0,0,0,0.81,0,4.03,0,0,0,0,0.81,0,0
 48-58,0,0,0,1.15,0,0,0,0,0,0,0,2.87,0,0,0,0,1.15,0,0
 60-70,0,0,0,2.94,0,0.98,0,0,0,0.98,0,6.87,0,0,0,0,0,0,0.98
 72-82,0,0,0,0.98,0,1.96,0,0,0,0.98,0,5.89,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,3.19,0,0,0,0,1.06,0,0,4.25,0,0,0,1.06,0,0,0
 96-106,0,0,0,2.19,1.09,0,0,0,0,0,0,3.28,0,1.09,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,1.53,0,4.6,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,1.96,0,1.96,3.92,0,0,0,0,0,0,0
