stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,0,0,0,15,1,1,0,0,3,3,0,0,0,4,0,0,0,0,0
 24-34,0,0,1.64,37.76,4.1,0,68.13,0,3.28,0.82,11.49,0.82,0,2.46,43.51,0.82,2.46,3.28,1.64,1.64,56.64,2.46,0,27.09,582.81,8.21,8.21,7.39,0,41.04,0,1.64,0,4.1,81.26,0,0,13.95,0,2.46
 36-46,0,0,0,12.89,0.81,0,107.15,0.81,4.83,3.22,21.75,0.81,0,2.42,62.84,0.81,1.61,0.81,1.61,4.03,67.68,1.61,0.81,22.56,625.2,9.67,7.25,1.61,0,33.03,0.81,2.42,2.42,0.81,158.72,0,0,14.5,0,7.25
 48-58,0,0,0,13.2,2.87,0,255.34,1.15,2.87,3.44,60.82,1.15,1.15,2.3,68.28,0,2.3,0.57,2.3,2.87,121.07,3.44,2.3,21.23,701.19,4.59,3.44,5.16,0.57,18.94,0,1.15,0.57,0,142.3,0,0.57,8.61,0,13.2
 60-70,0,0,0,13.74,3.93,0,173.73,1.96,3.93,2.94,36.32,0.98,0,1.96,72.63,0.98,0.98,0,0.98,1.96,60.85,0,3.93,10.8,385.74,1.96,2.94,0,0.98,17.67,0,0.98,0.98,0,53,0,0.98,4.91,0,10.8
 72-82,0,2.94,0,16.69,15.71,0.98,179.64,0,3.93,7.85,48.1,5.89,0,3.93,106.02,0.98,1.96,6.87,3.93,0.98,102.09,1.96,2.94,11.78,442.73,1.96,5.89,5.89,0.98,26.5,0,1.96,0.98,0,25.52,3.93,5.89,13.74,3.93,9.82
 84-94,0,1.06,0,15.93,13.81,0,122.13,2.12,5.31,5.31,36.11,5.31,1.06,0,151.87,3.19,3.19,1.06,3.19,1.06,80.71,2.12,2.12,13.81,213.47,3.19,3.19,2.12,1.06,52.04,0,0,1.06,0,20.18,5.31,6.37,9.56,5.31,6.37
 96-106,0,0,1.09,64.48,54.64,7.65,158.46,3.28,14.21,4.37,72.13,16.39,0,7.65,175.95,2.19,9.84,7.65,13.11,0,131.14,3.28,6.56,22.95,321.3,0,9.84,13.11,2.19,96.17,0,4.37,1.09,0,16.39,4.37,5.46,21.86,12.02,6.56
108-118,0,4.6,0,51.32,35.23,11.49,154.72,2.3,7.66,8.43,65.87,18.38,0,2.3,140.94,3.83,6.89,3.83,11.49,3.06,174.64,1.53,7.66,25.28,350.81,7.66,13.02,9.96,1.53,52.85,0,0.77,0.77,0,10.72,3.83,4.6,16.09,8.43,5.36
120,0,1.96,0,60.75,27.44,9.8,117.59,5.88,7.84,5.88,58.79,11.76,0,0,168.54,0,5.88,1.96,25.48,0,103.87,5.88,5.88,15.68,386.08,5.88,1.96,11.76,1.96,43.12,0,1.96,3.92,0,5.88,3.92,3.92,7.84,7.84,11.76
