stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,heart,immune,mesenchyme,mural.cell,neural,otic,periderm,spinal.cord,vasculature
 14-21,2,0,0,0,0,0,0,0,0,2,0,1,1,1
 24-34,0.82,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,4.83,0,0,0,0
 48-58,0.57,0,0,0.57,0,0,1.15,0,0,4.59,0,0,1.15,0
 60-70,0,0,0,6.87,0,0,1.96,0,0,9.82,0,0,0.98,0
 72-82,0,0,0,2.94,0,0.98,12.76,0,0,13.74,0,0,0,1.96
 84-94,0,1.06,0,4.25,1.06,0,20.18,0,0,5.31,0,0,0,0
 96-106,0,0,0,1.09,0,0,50.27,1.09,1.09,3.28,1.09,3.28,0,1.09
108-118,0.77,0,0.77,2.3,0,0,49.02,1.53,0,5.36,0,0,0,3.06
120,1.96,1.96,0,1.96,0,0,109.75,3.92,0,13.72,0,0,1.96,7.84
