stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,99.32,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0.82,0,0,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,0.81,0,141.8,0,0,0.81,0.81,0,0.81,0,0,0,0.81,0,0,1.61,8.86,0,0,0,48.34,0,0,0,0.81,0,3.22,0,0,14.5,0,0,0.81,0,0.81
 48-58,0,0,2.87,1.15,0,193.95,0.57,1.15,1.72,13.77,0,0,0.57,0.57,0.57,0.57,0.57,0,2.3,36.15,0,2.87,5.74,159.52,0,1.72,0.57,0,0,8.03,0,0,30.99,0,0,2.87,0,2.3
 60-70,0,0,8.83,2.94,0,316.05,1.96,1.96,0.98,21.59,0.98,0,1.96,2.94,0,0.98,0,0,0.98,53,0.98,2.94,7.85,213.97,1.96,2.94,3.93,0,0.98,9.82,0,0,36.32,0,0.98,2.94,0,7.85
 72-82,0,0,1.96,13.74,0,227.75,2.94,1.96,2.94,12.76,3.93,0,0.98,0.98,1.96,0.98,0,2.94,0.98,82.46,1.96,0.98,8.83,186.52,4.91,3.93,3.93,0,0.98,12.76,0.98,0.98,14.72,2.94,3.93,9.82,1.96,9.82
 84-94,0,2.12,20.18,15.93,0,314.36,0,3.19,1.06,19.12,1.06,0,1.06,5.31,1.06,2.12,2.12,2.12,3.19,63.72,2.12,4.25,9.56,132.75,0,0,2.12,0,1.06,52.04,1.06,1.06,11.68,2.12,6.37,7.43,0,7.43
 96-106,0,0,29.51,40.44,2.19,347.53,2.19,4.37,7.65,43.71,3.28,0,2.19,5.46,4.37,2.19,3.28,12.02,1.09,112.56,3.28,8.74,12.02,218.57,0,8.74,3.28,0,0,60.11,2.19,2.19,16.39,2.19,4.37,18.58,6.56,7.65
108-118,0,0,12.26,9.19,0.77,248.94,0,4.6,1.53,22.21,1.53,0,0,4.6,2.3,0.77,0,3.83,2.3,63.57,1.53,2.3,6.13,130.21,1.53,1.53,2.3,0,0.77,19.15,0,0,6.13,3.06,0.77,6.13,2.3,6.89
120,0,0,11.76,7.84,0,123.47,1.96,0,0,7.84,0,0,0,7.84,0,0,0,1.96,0,41.16,0,0,1.96,60.75,0,0,3.92,0,0,5.88,1.96,0,3.92,1.96,1.96,1.96,1.96,0
