stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,5,118,18,0,31,0,0,0,12,4,2,0,0,3,0,0,0,1,40,0,0,25,538,16,4,6,13,0,6,82,3,0,88,240,0,0,1,0,0
 24-34,0.82,0.82,13.95,1.64,0,22.98,0,4.1,0,12.31,0,0,0.82,0,0.82,0.82,0.82,1.64,4.1,22.98,0,0,20.52,553.26,1.64,15.6,4.93,0,0,6.57,0.82,0.82,0,7.39,171.56,0,0,4.1,0,0
 36-46,0.81,0,11.28,1.61,0,34.64,0,0.81,0,20.95,0,0,0,0,0,0.81,0.81,1.61,2.42,41.09,0.81,0,12.09,916.05,4.83,14.5,2.42,0,0,8.86,0,0,0,0,209.47,0,0,0,0,0
 48-58,0,0,14.92,0,0,83.2,0.57,2.3,3.44,42.46,0,0,0,0.57,0.57,1.15,0.57,0,5.16,59.1,0,2.3,14.35,813.08,5.74,8.61,1.72,0,0,8.03,0,0.57,0,0,205.42,0,0,3.44,0,1.15
 60-70,0,0,11.78,0,0,217.9,0,0.98,1.96,75.58,0,0,0,0.98,0.98,2.94,0.98,1.96,0,75.58,0,0,5.89,1114.03,1.96,1.96,3.93,0,0,10.8,0,0,0,0,184.53,0.98,0.98,0.98,0,1.96
 72-82,3.93,0,15.71,1.96,0,402.48,0,2.94,2.94,133.51,2.94,0,0,0,1.96,0.98,0,0,2.94,162.96,1.96,3.93,6.87,1072.96,1.96,16.69,5.89,0,0.98,7.85,0,1.96,0,0,109.95,2.94,2.94,2.94,0.98,2.94
 84-94,4.25,1.06,7.43,5.31,0,237.9,0,1.06,5.31,79.65,2.12,0,0,4.25,2.12,8.5,2.12,0,4.25,47.79,0,4.25,7.43,551.2,1.06,6.37,5.31,0,0,14.87,0,3.19,1.06,0,60.54,3.19,1.06,5.31,4.25,3.19
 96-106,7.65,0,16.39,2.19,0,209.83,0,3.28,6.56,95.08,8.74,0,0,3.28,2.19,1.09,6.56,3.28,1.09,88.52,0,6.56,7.65,448.07,4.37,22.95,12.02,0,0,19.67,0,0,1.09,0,18.58,0,1.09,5.46,0,2.19
108-118,1.53,0,20.68,2.3,1.53,174.64,2.3,5.36,6.13,79.66,7.66,0,1.53,3.06,2.3,7.66,1.53,1.53,3.06,66.64,0,4.6,6.13,602.05,3.83,14.55,10.72,0,0.77,16.09,0,3.06,0,0,26.04,1.53,1.53,4.6,3.83,0
120,0,0,33.32,5.88,0,99.95,1.96,5.88,1.96,62.71,3.92,0,1.96,0,1.96,1.96,0,0,1.96,52.91,0,7.84,7.84,574.22,0,7.84,5.88,0,0,29.4,0,0,0,0,23.52,0,1.96,9.8,3.92,0
