stage,axial,blastomeres,endocrine.pancreas,endoderm,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,2.63,0,0,0,0,0,0,0,0,18.4,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,3,0,0,0
 24-34,0,0,0.82,0,2.46,0.82,0,0,0.82,1.64,0,0,15.6,0.82,0,0,0.82,0,0,0.82,3.28,0,0.82,0
 36-46,0,0,0,0,2.42,0,0,0,0,1.61,0,0.81,16.92,0.81,0.81,0,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,3.44,0,1.72,0,0,2.3,0,1.15,12.62,0,0.57,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,8.83,0,1.96,0.98,0,0.98,0.98,0,20.61,0,0,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,0,0,3.93,0,0.98,0,0,0.98,0,0,23.56,0,0,0,0,0,0,0,2.94,0,0.98,0
 84-94,0,0,0,0,3.19,0,0,0,0,0,0,1.06,8.5,0,0,0,4.25,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,0,4.37,0,0,0,0,4.37,0,1.09,1.09,0,0,0,1.09,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0.77,0,0,0,0,1.53,0,0,6.13,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,3.92,0,3.92,0,0,1.96,0,1.96,9.8,0,0,0,0,0,0,0,0,0,0,0
