stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,57,0,0,43,23,24,0,0,4,0,0,11,1,56,40,0,0,4,0,0
 24-34,0,0,0,0.82,4.93,1.64,0,2.46,0.82,0.82,9.85,2.46,5.75,0,0,0,0,0.82,0,0,277.45,0,0,144.47,56.64,10.67,0.82,0.82,0,0,0.82,0.82,4.1,13.13,26.27,0,0,27.91,0,0
 36-46,0,0,0,0,0.81,0.81,0,3.22,1.61,1.61,49.95,8.06,0,0,0,0,0,0,0,0,404.45,0,3.22,102.32,34.64,7.25,1.61,0.81,0,1.61,0,1.61,3.22,0,24.17,0,0,17.72,0,0
 48-58,0.57,0,0,0,0,0.57,0,18.36,6.31,0.57,67.14,29.84,0,0.57,0,0,0.57,0.57,0,1.15,533.06,0,5.16,91.23,44.18,4.59,0,4.59,0,0,1.72,0,3.44,0,14.35,0,0.57,6.31,1.15,0
 60-70,0,0,0,0,0.98,0.98,0,14.72,2.94,2.94,79.5,99.13,0,0.98,0,0,0,0,0,0,752.83,0.98,10.8,66.74,35.33,2.94,0,0.98,0,0,0,0,1.96,0,10.8,0,3.93,11.78,1.96,0.98
 72-82,0,0,0,0,2.94,1.96,0,59.88,0.98,1.96,129.58,189.46,0.98,3.93,0,0,0,2.94,0,0,1209.41,0,10.8,99.15,64.79,0.98,0,20.61,0,3.93,0,0,0,0,12.76,1.96,18.65,30.43,19.63,1.96
 84-94,0,0,0,0,4.25,0,0,74.34,2.12,0,86.03,111.51,0,0,0,0,0,0,0,1.06,840.07,0,12.74,80.71,32.92,6.37,0,23.36,0,3.19,0,0,0,0,12.74,1.06,14.87,26.55,19.12,5.31
 96-106,0,0,1.09,1.09,7.65,1.09,1.09,57.92,2.19,3.28,91.8,136.61,2.19,2.19,3.28,0,1.09,5.46,1.09,1.09,880.83,1.09,12.02,69.94,73.22,6.56,2.19,34.97,0,6.56,4.37,0,0,0,13.11,1.09,12.02,37.16,17.49,3.28
108-118,0.77,0,0,0.77,5.36,2.3,1.53,28.34,1.53,2.3,73.53,134.04,0,0.77,1.53,0.77,1.53,0.77,2.3,2.3,794.3,0.77,13.79,68.94,54.38,3.83,1.53,33.7,0,9.19,0.77,0,0,0,12.26,0.77,11.49,33.7,8.43,5.36
120,1.96,0,0,0,3.92,0,0,31.36,0,0,90.15,117.59,0,1.96,1.96,0,1.96,1.96,1.96,0,509.54,0,11.76,48.99,31.36,5.88,0,23.52,0,1.96,3.92,0,0,0,5.88,0,7.84,23.52,5.88,7.84
