stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,6.29,0,0,0,0,3.15,0,0,0,0
 14-21,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,8,0,1,0,0,0,4,20,34,7,0,0,0
 24-34,0,1.64,0,1.64,0.82,1.64,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0,0,0,13.13,11.49,0.82,0,0,0,12.31,5.75,8.21,1.64,0,9.85,0
 36-46,0,0.81,0,7.25,0,1.61,1.61,0,0,0.81,0,0,0.81,1.61,0,0,0,15.31,1.61,0,4.03,7.25,11.28,0.81,0,0,0,6.45,6.45,0.81,2.42,0,19.34,0
 48-58,0,1.15,0,17.21,0,4.02,0.57,2.87,0.57,0.57,0,0.57,0,4.02,0,0,0,20.66,1.15,0,5.74,9.75,9.18,0,0,0.57,0,11.48,0.57,0,1.15,0,12.05,0.57
 60-70,0,1.96,0,32.39,0,3.93,3.93,5.89,1.96,0,0,2.94,0,1.96,0,0.98,0.98,41.22,1.96,0,7.85,5.89,5.89,4.91,0,0,0,12.76,1.96,0,0.98,0,8.83,0.98
 72-82,0,1.96,0,21.6,0,6.87,1.96,3.93,0,0.98,0.98,0,0,1.96,0,0,0,43.19,1.96,0.98,2.94,13.74,20.61,5.89,0,1.96,0,23.56,0.98,0,0.98,0.98,14.72,0
 84-94,0,2.12,0,49.92,0,4.25,3.19,6.37,0,1.06,1.06,0,0,9.56,0,1.06,1.06,32.92,1.06,1.06,2.12,15.93,23.36,4.25,0,1.06,0,36.11,1.06,0,0,0,14.87,0
 96-106,0,2.19,0,51.36,1.09,15.3,2.19,7.65,0,2.19,3.28,1.09,0,6.56,0,1.09,0,32.79,2.19,0,2.19,13.11,32.79,7.65,0,8.74,1.09,30.6,0,0,0,0,9.84,0
108-118,0,0,0,62.81,0,9.19,2.3,14.55,0.77,1.53,1.53,0.77,0,6.89,1.53,5.36,0,36.77,0,6.89,4.6,16.85,29.87,10.72,0,6.13,0,46.72,2.3,0,0,0,6.89,0
120,0,0,1.96,86.23,0,9.8,5.88,15.68,0,1.96,0,0,0,3.92,0,3.92,0,45.08,0,11.76,7.84,7.84,19.6,7.84,0,7.84,0,25.48,3.92,0,0,0,15.68,0
