stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,239.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,10.51,0,0,15.77,0,0,0,0,0,0,0,0,0,0,120.92,0,0,0,52.57,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,122.73,0,0,0,37.76,0,0,15.73,0,0,0,0
 14-21,0,0,1,10,1,2,0,0,0,0,0,0,0,6,0,1,27,0,0,1,2,0,1,0,7,9,0,0
 24-34,0,0,0.82,0,0,9.03,0,0,0,0.82,0,0,0,1.64,0,3.28,57.46,0,0.82,0.82,0,1.64,0,0,0,9.85,1.64,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0.81,0,6.45,0.81,2.42,36.26,0,0,0,0,0,0,0,0,6.45,0,0
 48-58,0,0,0,0,0,14.35,0.57,0.57,0,0,0,0,0.57,4.02,0,0.57,32.71,0.57,0.57,0,0,0.57,0,0,0,7.46,0,0
 60-70,0,0,0,0,0,18.65,0,8.83,0,0,0,0,0,8.83,0.98,0.98,32.39,0,0,0,0,0,0,0,0,1.96,0,1.96
 72-82,0,0,0,0,0,8.83,0.98,6.87,0,0,0,0,0,2.94,0,1.96,25.52,0,0,0,0,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,1.06,0,14.87,0,2.12,1.06,0,0,0,0,7.43,0,0,11.68,0,0,0,0,2.12,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,0,6.56,1.09,4.37,0,0,1.09,0,0,0,0,0,9.84,0,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0,0,2.3,0,4.6,0,0.77,0.77,0,0,0.77,0,2.3,0,0,10.72,0,0,0,0,1.53,0,0,0,0,0,0
120,0,0,0,0,0,0,0,5.88,0,0,0,0,0,5.88,0,0,5.88,0,0,0,0,3.92,0,0,0,0,0,0
