stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,86.75,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,53.5,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,22.03,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,6,17,3,0,3,0,0,0,13,0,0,0,0,0,0,8,0,9,0,0,3,127,8,0,2,1,0,0,1,3,1,0,1,79,0,0,0,0,0
 24-34,0,0,20.52,36.12,4.1,0,76.34,0,1.64,2.46,35.3,12.31,0,0.82,5.75,0,0.82,16.42,0,11.49,0.82,0,4.1,930.85,4.1,0.82,10.67,0,0,4.93,0,0,32.83,0,0.82,285.66,0,0,0,0,0
 36-46,0,0,5.64,22.56,0,0,115.21,0,3.22,0.81,103.93,16.92,0,0,2.42,0.81,0,18.53,0,9.67,0.81,0,3.22,626.01,0,2.42,11.28,0,0,8.06,0.81,0,46.73,0,0.81,280.37,0,0,0.81,0,0
 48-58,0,0,2.3,23.53,0,0,173.86,0,5.16,3.44,162.96,29.26,0,0.57,6.89,0,0,38.44,0,18.36,2.3,0.57,2.87,326.49,1.15,0.57,20.08,0,0,13.2,0,0,36.15,0,0,162.39,0,0,0,0,0
 60-70,0,0.98,0,49.08,0,1.96,168.82,0,7.85,6.87,205.14,62.82,0,0,13.74,1.96,0,50.06,0,30.43,0.98,0,2.94,214.95,0,0,16.69,0,0,26.5,0,0,52.02,0.98,0,55.95,0,0,1.96,0.98,0
 72-82,0,6.87,1.96,72.64,7.85,8.83,196.33,0,6.87,9.82,328.86,180.63,0,3.93,37.3,2.94,4.91,155.1,0,127.62,5.89,1.96,4.91,313.15,1.96,2.94,34.36,0,0,156.08,0,0,80.5,0,0,33.38,0.98,0.98,5.89,2.94,2.94
 84-94,0,4.25,2.12,145.5,4.25,29.74,243.21,1.06,23.36,12.74,181.61,314.36,0,2.12,62.66,3.19,1.06,485.35,0,95.58,8.5,3.19,4.25,220.9,0,4.25,27.61,0,0,953.71,1.06,0,174.17,0,0,31.86,7.43,1.06,2.12,2.12,2.12
 96-106,0,12.02,2.19,196.71,12.02,7.65,275.4,0,26.23,7.65,214.2,434.95,1.09,8.74,92.89,0,6.56,774.83,2.19,112.56,19.67,0,10.93,352.99,2.19,9.84,63.39,0,3.28,577.02,2.19,0,172.67,0,0,28.41,4.37,2.19,12.02,6.56,3.28
108-118,0,3.06,3.83,168.51,9.96,12.26,208.34,0.77,24.51,9.19,187.66,459.58,0,5.36,59.75,3.06,3.83,1465.29,0.77,88.09,10.72,3.06,6.89,339.32,0.77,2.3,33.7,0,1.53,605.88,1.53,0,157.02,0.77,0,13.02,6.89,0.77,5.36,2.3,1.53
120,0,1.96,1.96,107.79,7.84,13.72,145.02,1.96,5.88,7.84,117.59,309.65,0,1.96,37.24,1.96,5.88,752.56,0,66.63,3.92,3.92,1.96,250.85,0,3.92,15.68,0,0,341,0,0,115.63,0,0,13.72,1.96,0,1.96,0,0
