stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,26.29,0,0,0,15.77,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,3.15,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,1,2,0,1,0,0,0,0,0,1,0,0,0,3,0,2,22,1,0,1,2,0,0,4,0,6,12,0,1,0
 24-34,0,0,0,3.28,0,1.64,0,0,0,4.1,0,0.82,0,0,0,0,0.82,9.03,0,2.46,50.89,0.82,0,2.46,0,0,0,0,0,0,19.7,0,0.82,0
 36-46,0,0,0,0,0,14.5,0,0,0.81,0,0,0,0,0,0,0,0,12.09,0,1.61,32.23,1.61,0,0.81,0,0.81,0,0,0,0,14.5,0,1.61,0
 48-58,0,0,0,1.72,0,21.8,0.57,0.57,3.44,4.02,0,0,0,0,0,0,0,13.2,0,3.44,35.58,0.57,0,0.57,0,0.57,0,0,0,0,13.2,0,0.57,0
 60-70,0,0,0,0,0,13.74,0,0,0,3.93,0.98,0,0,0.98,0,0,0.98,10.8,0,3.93,24.54,0,0.98,0.98,0,0,0,0,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,6.87,0,0,2.94,1.96,0,0,0,0,0,0,0,19.63,0,3.93,34.36,0,0,0.98,0,0,0,0,0,0,3.93,0.98,0,0.98
 84-94,0,0,0,0,0,6.37,0,0,0,2.12,0,0,0,0,0,0,0,9.56,1.06,3.19,19.12,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,0,1.09,4.37,0,0,2.19,2.19,0,0,0,0,1.09,1.09,0,7.65,0,2.19,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,4.6,0,0,1.53,3.83,0,0,0,0.77,0,0,0,3.83,0.77,0.77,6.89,0,0.77,0,0,0,0,0,0,0,3.06,0,0,0
120,0,0,0,3.92,0,5.88,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0,0,1.96
