stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,6.29,0,0,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,1,47,22,1,0,0,0,1,1,1,1,0,0,32,0,8,84,2,2,11,2,0,0,0,2,0,0,1,18,0,9,0
 24-34,0,0,0.82,0.82,19.7,3.28,1.64,0,0,0,0,0,0.82,7.39,0,0,86.19,1.64,8.21,183.87,0,16.42,18.06,0,0,0.82,0,0,0,1.64,1.64,57.46,0,32.83,0
 36-46,0,0,0,0,10.47,0,10.47,0,0,8.06,9.67,0,2.42,19.34,0,0,57.2,2.42,0.81,230.42,0,8.06,1.61,0,0.81,0.81,0.81,0,0.81,0,0,109.57,0,6.45,0
 48-58,0,0,0,0,0.57,0.57,35.58,0,1.15,16.07,24.1,0,0,24.1,0,0,78.61,5.16,2.87,299.53,0,9.18,1.72,0,1.72,0.57,0,0,0,0,0,181.32,0,4.02,0
 60-70,0,0,0,0,0.98,0.98,53.98,2.94,0.98,15.7,44.17,0,2.94,18.65,0,0.98,89.32,10.8,0,359.24,0,10.8,1.96,0,1.96,0,0,0,0,0,0,181.58,0.98,0.98,0
 72-82,0,0,0,0,6.87,0,52.03,0,0,31.41,48.1,0.98,0.98,31.41,0,0,107.98,9.82,0.98,290.57,0,9.82,3.93,0,1.96,0.98,0,0,0,0,0,102.09,1.96,0.98,1.96
 84-94,0,0,0,0,3.19,0,40.36,2.12,1.06,21.24,18.05,1.06,1.06,53.1,1.06,0,48.85,6.37,4.25,165.68,0,10.62,3.19,0,3.19,0,0,0,0,0,0,48.85,2.12,4.25,3.19
 96-106,0,0,0,0,2.19,0,25.14,1.09,0,15.3,18.58,0,1.09,40.44,0,0,45.9,4.37,1.09,123.49,0,8.74,4.37,0,1.09,0,0,0,0,2.19,0,27.32,0,3.28,1.09
108-118,0,0,0,0.77,3.06,0,18.38,0.77,0,10.72,29.87,0,0,31.4,0.77,0,30.64,2.3,0.77,137.87,0,4.6,4.6,0,0,0.77,0,0,0,0,0,17.62,0,1.53,1.53
120,0,0,0,0,1.96,0,19.6,0,0,3.92,17.64,0,0,35.28,0,0,15.68,0,5.88,119.55,0,1.96,0,0,0,0,0,0,0,0,0,21.56,0,1.96,0
