stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.89,2.63,0,0,21.03,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,3.15,0,0,40.91,0,0,9.44,0,0,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,0,4,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,40,0,0,0,1,0,0,0,4,0,1,4,15,0,0,0,0
 24-34,0,0,0,0,2.46,0,13.13,0,0,0.82,1.64,0,0.82,0,0,0,0,14.78,0,2.46,109.17,0.82,0,0.82,0,0,0.82,0,0,0,0,1.64,18.88,0,2.46,0,0
 36-46,0,0,0,0,2.42,0.81,19.34,0.81,0.81,0,6.45,0,0.81,0.81,0.81,0,0,10.47,0,3.22,95.87,0,0,0,0,0,0.81,0,0,0,0,0,24.98,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,24.67,0,0,1.15,3.44,0,0,0,0,0,0,18.36,0,3.44,78.04,0,0,0.57,0,0,2.3,0,0,0,0,0,10.9,0.57,1.72,0,0
 60-70,0,0,0.98,0,0,0,25.52,0,0.98,0,4.91,1.96,0.98,0,0,0,0,11.78,0,0,71.65,0,0,0,0,0.98,0.98,0,0,0,0,0,10.8,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,32.39,0,0.98,0.98,7.85,0,0,0.98,0,0,0,15.71,0,0,69.7,0,0,0.98,0,0,0,0,0,0,0.98,0,2.94,0.98,0,0,0
 84-94,0,0,0,0,3.19,1.06,24.43,0,0,1.06,6.37,0,0,1.06,2.12,0,0,12.74,0,3.19,30.8,0,0,0,0,0,4.25,0,0,0,0,0,3.19,1.06,1.06,1.06,0
 96-106,0,0,0,0,2.19,1.09,9.84,0,0,2.19,8.74,1.09,0,1.09,0,1.09,0,10.93,1.09,1.09,29.51,1.09,1.09,1.09,0,1.09,6.56,0,0,1.09,0,0,2.19,0,2.19,0,0
108-118,0,0,0,0,2.3,0,9.19,0,0.77,0,3.83,0,0,0,0.77,0.77,0.77,9.96,0,0.77,41.36,0.77,1.53,0.77,0,0,2.3,0,0,0.77,0,0,0.77,0.77,1.53,0,0.77
120,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,1.96,0,0,0,11.76,0,5.88,43.12,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,1.96,0,0
