stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,5,1,0,0,0,0,7,0,0,0,0,0
 24-34,0,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0,0.82,0,0,2.46,0,0,0,0,0,18.88,0,0.82,0,0,0.82
 36-46,0,0.81,0,2.42,0,0.81,0,0,0,0,0.81,0,0,1.61,0.81,0,0,13.7,0,0,0,0,0,14.5,0.81,1.61,0,0,0.81
 48-58,0,0,0,0.57,0,2.3,0,0,0.57,1.72,0,0,0,2.87,0,0,0,9.75,0,0,0,0,0.57,5.16,0,2.3,0,0,0.57
 60-70,0,0,0,0,0,13.74,0,0.98,0.98,5.89,0,0,0,0,1.96,0,0,10.8,0,0,0,0,0,4.91,0,0,0,0,0
 72-82,0,7.85,0,2.94,0.98,26.5,0.98,0,1.96,14.72,0,0,0,2.94,2.94,0,0,12.76,0,0.98,0,0,0,9.82,0,0.98,1.96,0,0.98
 84-94,0,7.43,0,2.12,0,14.87,0,0,3.19,21.24,0,0,1.06,1.06,3.19,0,0,7.43,0,0,0,0,1.06,12.74,0,2.12,10.62,0,1.06
 96-106,0,3.28,0,2.19,0,25.14,0,0,1.09,16.39,0,0,0,5.46,1.09,0,1.09,5.46,0,0,0,0,0,20.76,0,0,16.39,1.09,0
108-118,0,3.06,0,2.3,0,15.32,0,0,0.77,11.49,0,0,0,3.83,0,0,0,4.6,0,0,0.77,0,0,7.66,0,0,11.49,0,1.53
120,0,3.92,0,0,0,5.88,0,0,0,7.84,0,1.96,0,1.96,0,1.96,0,11.76,0,0,1.96,0,0,5.88,0,1.96,5.88,1.96,0
